epoch,total_loss,state_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,1.643517017364502,1.643494963645935,2.205371856689453e-05,1.2364,1.236375,1622
1,4.345513343811035,4.3454790115356445,3.4332275390625e-05,2.5418,1.305462,1406
2,1.9517898559570312,1.9517643451690674,2.5510787963867188e-05,3.9818,1.439998,1700
3,1.8925459384918213,1.8925284147262573,1.7523765563964844e-05,5.2078,1.225932,1610
4,3.1353278160095215,3.1353116035461426,1.621246337890625e-05,6.4503,1.242572,1670
5,2.718283176422119,2.7182669639587402,1.621246337890625e-05,7.8877,1.437319,1646
6,1.805884838104248,1.8058674335479736,1.7404556274414062e-05,9.0613,1.173634,1670
7,1.2857794761657715,1.2857584953308105,2.09808349609375e-05,10.2427,1.181446,1646
8,1.965196967124939,1.9651726484298706,2.4318695068359375e-05,11.4769,1.234173,1682
9,2.1108133792877197,2.110788345336914,2.5033950805664062e-05,12.6747,1.197784,1664
10,1.649755597114563,1.6497316360473633,2.396106719970703e-05,14.0578,1.38311,1646
11,1.1582573652267456,1.1582362651824951,2.110004425048828e-05,15.261,1.2032,1598
12,1.3844319581985474,1.3844133615493774,1.8596649169921875e-05,16.4411,1.180108,1676
13,1.626507043838501,1.626488447189331,1.8596649169921875e-05,17.6525,1.211421,1682
14,1.236119031906128,1.2360994815826416,1.9550323486328125e-05,18.9011,1.248551,1670
15,0.9967626333236694,0.9967401623725891,2.2470951080322266e-05,20.0753,1.174184,1700
16,1.176570177078247,1.1765450239181519,2.5153160095214844e-05,21.2579,1.182605,1700
17,1.316273808479309,1.3162473440170288,2.6464462280273438e-05,22.4595,1.201619,1730
18,1.135203242301941,1.1351770162582397,2.6226043701171875e-05,23.7081,1.248616,1736
19,0.8561006784439087,0.8560758233070374,2.485513687133789e-05,24.9151,1.206949,1718
20,0.8639291524887085,0.8639063239097595,2.282857894897461e-05,26.3808,1.465724,1700
21,1.0461748838424683,1.046152114868164,2.276897430419922e-05,27.5655,1.184753,1700
22,0.7998558282852173,0.7998318076133728,2.4020671844482422e-05,28.8185,1.252982,1706
23,0.6678510308265686,0.6678246855735779,2.6345252990722656e-05,30.018,1.199525,1736
24,0.7966311573982239,0.796602725982666,2.8431415557861328e-05,31.237,1.218955,1748
25,0.8288312554359436,0.8288019299507141,2.9325485229492188e-05,32.4667,1.229682,1670
26,0.7360489964485168,0.7360200881958008,2.8908252716064453e-05,33.6915,1.224801,1772
27,0.5950158834457397,0.5949880480766296,2.7835369110107422e-05,34.8944,1.202942,1658
28,0.7050414681434631,0.7050144672393799,2.7000904083251953e-05,36.2128,1.318383,1724
29,0.6960718631744385,0.696044385433197,2.7477741241455078e-05,37.4377,1.224909,1742
30,0.5865048766136169,0.5864758491516113,2.9027462005615234e-05,38.5821,1.144361,1610
31,0.6745540499687195,0.6745235323905945,3.0517578125e-05,39.789,1.206883,1736
32,0.6916364431381226,0.6916054487228394,3.0994415283203125e-05,41.0066,1.217601,1628
33,0.6047307848930359,0.6047004461288452,3.0338764190673828e-05,42.1988,1.192219,1586
34,0.6192678213119507,0.6192384958267212,2.9325485229492188e-05,43.3783,1.179516,1670
35,0.6587165594100952,0.6586873531341553,2.9206275939941406e-05,44.6501,1.271843,1706
36,0.582783579826355,0.5827534198760986,3.0159950256347656e-05,45.8495,1.199368,1712
37,0.6137931942939758,0.6137620806694031,3.1113624572753906e-05,47.0789,1.229437,1742
38,0.6284207701683044,0.6283893585205078,3.141164779663086e-05,48.2941,1.215189,1694
39,0.5848835110664368,0.5848526358604431,3.0875205993652344e-05,49.5729,1.278737,1760
40,0.5868255496025085,0.5867955088615417,3.0040740966796875e-05,50.7942,1.221341,1754
41,0.6053516864776611,0.6053218245506287,2.9861927032470703e-05,51.9908,1.196587,1706
42,0.5676007270812988,0.5675702691078186,3.045797348022461e-05,53.2153,1.224456,1628
43,0.5803754329681396,0.5803443789482117,3.1054019927978516e-05,54.4002,1.184927,1652
44,0.5863021016120911,0.5862708687782288,3.123283386230469e-05,55.6315,1.231354,1754
45,0.565050482749939,0.5650196671485901,3.081560134887695e-05,56.8343,1.202726,1646
46,0.5657113790512085,0.5656810402870178,3.0338764190673828e-05,58.1843,1.350046,1730
47,0.5764085650444031,0.5763784050941467,3.0159950256347656e-05,59.4025,1.218168,1730
48,0.5594230890274048,0.559392511844635,3.057718276977539e-05,60.5926,1.190167,1706
49,0.560326099395752,0.5602948665618896,3.123283386230469e-05,61.9086,1.315926,1724
50,0.5671846270561218,0.5671530365943909,3.159046173095703e-05,63.3577,1.449153,1736
51,0.5562334060668945,0.5562019348144531,3.147125244140625e-05,64.5776,1.219913,1748
52,0.5539528727531433,0.5539217591285706,3.1113624572753906e-05,65.7803,1.202623,1574
53,0.5601188540458679,0.5600878000259399,3.1054019927978516e-05,66.9646,1.184338,1634
54,0.5512851476669312,0.551253616809845,3.153085708618164e-05,68.1913,1.226678,1736
