epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.987314e+01,1050.0,False,,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.4,-29582.7,31274.6,87021.6
1,9.210447e+00,2.657957e+01,1081.1,False,,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.4,-29582.7,31274.6,87021.6
2,9.044014e+00,2.334150e+01,1166.6,True,0.000000e+00,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.4,-29582.7,31274.6,87021.6
5,8.748406e+00,1.691048e+01,1388.5,True,4.897959e-05,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.4,-29582.7,31274.6,87021.6
10,8.347277e+00,2.033768e+01,1366.0,True,0.000000e+00,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.4,-29582.7,31274.6,87021.6
20,7.795701e+00,1.699873e+01,1711.2,True,2.448980e-05,1.712275e+05,-60986.8,60865.5,56061.3,81250.8,38398.3,-35353.3,-29582.7,31274.6,87021.6
50,6.641019e+00,1.393351e+01,1668.5,True,0.000000e+00,1.712275e+05,-60987,60865.5,56061.4,81250.8,38398.4,-35353.2,-29582.6,31274.6,87021.6
100,5.828573e+00,7.611863e+00,1902.4,True,0.000000e+00,1.712276e+05,-60987.2,60865.4,56061.5,81250.8,38398.6,-35353,-29582.6,31274.6,87021.6
200,5.344522e+00,4.464496e+00,2333.6,True,0.000000e+00,1.712277e+05,-60987.6,60865.3,56061.5,81250.8,38399,-35352.6,-29582.6,31274.6,87021.6
500,4.306289e+00,1.660408e+00,2711.4,True,6.122449e-05,1.712282e+05,-60988.7,60865.3,56061.9,81250.8,38399.7,-35351.5,-29582.6,31274.6,87021.6
1000,3.976570e+00,1.008136e+00,2537.9,True,8.571429e-05,1.712295e+05,-60990.7,60865.3,56063.9,81250.8,38401.6,-35349.5,-29582.6,31274.6,87021.6
2000,3.287242e+03,1.722560e+01,1489.3,True,8.571429e-05,1.712301e+05,-60992.2,60865.4,56065,81250.7,38401.8,-35347.8,-29582.4,31274.5,87021.5
3000,3.259479e+03,1.722517e+01,1489.3,True,8.571429e-05,1.712301e+05,-60992.2,60865.4,56065,81250.7,38401.8,-35347.8,-29582.4,31274.5,87021.5
5000,3.127507e+03,1.722049e+01,1489.5,True,8.571429e-05,1.712301e+05,-60992.2,60865.4,56065,81250.7,38401.8,-35347.8,-29582.4,31274.5,87021.5
7500,2.650348e+03,1.719565e+01,1490.8,True,8.571429e-05,1.712301e+05,-60992.2,60865.4,56065,81250.7,38401.8,-35347.8,-29582.4,31274.5,87021.5
10000,1.566960e+03,1.711055e+01,1495.3,True,7.346939e-05,1.712301e+05,-60992.2,60865.4,56065,81250.7,38401.8,-35347.8,-29582.4,31274.5,87021.5
