epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,6.4861249923706055,6.4861249923706055,6.762677192687988,6.76086950302124,0.2456
1,6.443861484527588,6.443861484527588,6.719717502593994,6.717923641204834,0.2469
2,6.402400016784668,6.402400016784668,6.6775665283203125,6.675787448883057,0.2475
3,6.361779689788818,6.361779689788818,6.636168479919434,6.634403228759766,0.2481
4,6.32191801071167,6.32191801071167,6.595468997955322,6.593715667724609,0.2487
5,6.282722473144531,6.282722473144531,6.555426120758057,6.553686618804932,0.2493
6,6.244227409362793,6.244227409362793,6.5160369873046875,6.514310359954834,0.2499
7,6.206337928771973,6.206337928771973,6.4773101806640625,6.4755964279174805,0.2505
8,6.169103622436523,6.169103622436523,6.439291954040527,6.43759298324585,0.2511
9,6.132475852966309,6.132475852966309,6.401858329772949,6.400172233581543,0.2516
10,6.096405982971191,6.096405982971191,6.3650031089782715,6.363330841064453,0.2522
11,6.060830593109131,6.060830593109131,6.3286213874816895,6.326962471008301,0.2541
12,6.02573299407959,6.02573299407959,6.2926530838012695,6.291007995605469,0.2549
13,5.991149425506592,5.991149425506592,6.257147312164307,6.25551700592041,0.2569
14,5.956992149353027,5.956992149353027,6.221682071685791,6.22006368637085,0.2585
15,5.923211574554443,5.923211574554443,6.186417579650879,6.184813022613525,0.26
16,5.889749526977539,5.889749526977539,6.151347637176514,6.14975643157959,0.2607
17,5.85645055770874,5.85645055770874,6.1164960861206055,6.114919185638428,0.2614
18,5.823336601257324,5.823336601257324,6.081788063049316,6.080224514007568,0.262
19,5.790426731109619,5.790426731109619,6.047215461730957,6.045664310455322,0.2626
20,5.75766658782959,5.75766658782959,6.012685298919678,6.0111470222473145,0.2633
21,5.725043296813965,5.725043296813965,5.978314399719238,5.976788520812988,0.2639
22,5.692489147186279,5.692489147186279,5.943511962890625,5.942000389099121,0.2648
23,5.659976005554199,5.659976005554199,5.908304691314697,5.906806945800781,0.2656
24,5.627364635467529,5.627364635467529,5.872916221618652,5.871432304382324,0.2663
25,5.5946760177612305,5.5946760177612305,5.8373308181762695,5.8358612060546875,0.2669
26,5.561930179595947,5.561930179595947,5.801321983337402,5.799866676330566,0.2675
27,5.529073238372803,5.529073238372803,5.765061378479004,5.7636213302612305,0.2682
28,5.496029853820801,5.496029853820801,5.7284746170043945,5.727049350738525,0.2688
29,5.462666988372803,5.462666988372803,5.691532135009766,5.690121650695801,0.27
30,5.429030895233154,5.429030895233154,5.654303073883057,5.652907371520996,0.2707
31,5.3950982093811035,5.3950982093811035,5.616732120513916,5.61535120010376,0.2716
32,5.360836982727051,5.360836982727051,5.578751564025879,5.577385902404785,0.2722
33,5.326218605041504,5.326218605041504,5.540135860443115,5.5387864112854,0.273
34,5.291208744049072,5.291208744049072,5.501139163970947,5.499806880950928,0.2739
35,5.255833148956299,5.255833148956299,5.461679935455322,5.460365295410156,0.2747
36,5.220013618469238,5.220013618469238,5.421647071838379,5.420351982116699,0.2771
37,5.1837053298950195,5.1837053298950195,5.381169319152832,5.379891872406006,0.2811
38,5.146775722503662,5.146775722503662,5.340087890625,5.33882999420166,0.2878
39,5.1094160079956055,5.1094160079956055,5.298462867736816,5.297224998474121,0.294
40,5.071432590484619,5.071432590484619,5.256207466125488,5.254990577697754,0.295
41,5.032765865325928,5.032765865325928,5.2132134437561035,5.2120161056518555,0.2959
