epoch,total_loss,full_rollout_train_mse,full_rollout_test_mse_clean,full_rollout_test_mse_noisy,eval_seconds,elapsed_seconds
0,4.128057956695557,1277.2489013671875,1329.206298828125,1329.901611328125,0.0664,0.8916
1,3.5439460277557373,,,,,1.6999
2,3.0134286880493164,,,,,2.5089
3,2.5378804206848145,,,,,3.3499
4,2.11767315864563,,,,,4.165
5,1.7519471645355225,,,,,4.9795
6,1.438532829284668,,,,,5.7859
7,1.1740567684173584,,,,,6.5943
8,0.9541968107223511,,,,,7.3924
9,0.7740666270256042,,,,,8.1853
10,0.6286669969558716,,,,,8.9613
11,0.5132355093955994,,,,,9.7491
12,0.42343148589134216,,,,,10.5285
13,0.35538846254348755,,,,,11.3252
14,0.30569353699684143,,,,,12.1064
15,0.27133312821388245,,,,,12.8906
16,0.24961990118026733,,,,,13.6633
17,0.2381199151277542,,,,,14.4343
18,0.23459555208683014,,,,,15.2049
19,0.2369774430990219,,,,,15.9647
20,0.2433704137802124,,,,,16.7269
21,0.25208723545074463,,,,,17.4936
22,0.26169154047966003,,,,,18.2685
23,0.2710290253162384,,,,,19.037
24,0.2792309522628784,,,,,19.8112
25,0.2856893837451935,,,,,20.5923
26,0.29001346230506897,,,,,21.3813
27,0.2919822931289673,,,,,22.1491
28,0.29150474071502686,,,,,22.9177
29,0.2885931134223938,,,,,23.6764
30,0.28335151076316833,,,,,24.4543
31,0.27597323060035706,,,,,25.2213
32,0.2667458951473236,,,,,25.9881
33,0.2560523748397827,,,,,26.7546
34,0.2443646788597107,,,,,27.5183
35,0.232223778963089,,,,,28.2829
36,0.22020407021045685,,,,,29.044
37,0.2088671624660492,,,,,29.8135
38,0.198711559176445,,,,,30.5797
39,0.19012591242790222,,,,,31.3419
40,0.18335483968257904,,,,,32.1171
41,0.178482323884964,,,,,32.8814
42,0.17543451488018036,,,,,33.6526
43,0.17400208115577698,,,,,34.4349
44,0.17387712001800537,,,,,35.2206
45,0.17469856142997742,,,,,35.9788
46,0.1760978102684021,,,,,36.7555
47,0.1777389794588089,,,,,37.527
48,0.17934639751911163,,,,,38.2942
49,0.18071937561035156,,,,,39.0705
50,0.1817334145307541,,,,,39.8372
51,0.1823321282863617,,,,,40.6
52,0.1825123280286789,,,,,41.3602
53,0.18230828642845154,,,,,42.1246
54,0.18177713453769684,,,,,42.8911
55,0.18098701536655426,,,,,43.6569
56,0.18000955879688263,,,,,44.4565
57,0.1789146065711975,,,,,45.2261
58,0.1777677834033966,,,,,46.0024
59,0.17662763595581055,,,,,46.7717
60,0.1755443811416626,,,,,47.5501
61,0.17455750703811646,,,,,48.3191
62,0.17369462549686432,,,,,49.0925
63,0.1729709655046463,,,,,49.8688
64,0.17239001393318176,,,,,50.6671
65,0.171945258975029,,,,,51.4491
66,0.1716231405735016,,,,,52.215
67,0.1714058518409729,,,,,52.976
68,0.171273872256279,,,,,53.7589
69,0.17120784521102905,,,,,54.5313
70,0.1711893081665039,,,,,55.3374
71,0.1712009161710739,,,,,56.1361
72,0.17122629284858704,,,,,56.9081
73,0.17124980688095093,,,,,57.6925
74,0.17125701904296875,,,,,58.4862
75,0.17123544216156006,,,,,59.2658
76,0.17117583751678467,,,,,60.048
77,0.17107346653938293,,,,,60.8477
78,0.17092850804328918,,,,,61.6257
79,0.17074626684188843,,,,,62.3998
80,0.17053638398647308,,,,,63.1797
81,0.1703110784292221,,,,,63.9546
82,0.17008323967456818,,,,,64.7413
83,0.1698644906282425,,,,,65.5601
84,0.16966387629508972,,,,,66.3406
85,0.169486403465271,,,,,67.1184
86,0.16933374106884003,,,,,68.0712
87,0.16920456290245056,,,,,68.8413
88,0.16909494996070862,,,,,69.6156
89,0.1690002679824829,,,,,70.3916
90,0.16891545057296753,,,,,71.1672
91,0.16883599758148193,,,,,71.9702
92,0.16875796020030975,,,,,72.7439
93,0.16867835819721222,,,,,73.5102
94,0.16859515011310577,,,,,74.295
95,0.1685069054365158,,,,,75.0836
96,0.16841313242912292,,,,,75.8588
97,0.16831402480602264,,,,,76.6332
98,0.1682102084159851,,,,,77.4033
99,0.16810289025306702,,,,,78.1761
100,0.16799332201480865,6.069518566131592,3.803366184234619,3.8558425903320312,0.0846,79.0345
101,0.16788272559642792,,,,,79.802
102,0.1677720546722412,,,,,80.5742
103,0.16766226291656494,,,,,81.3418
104,0.1675538867712021,,,,,82.1191
105,0.16744700074195862,,,,,82.8931
106,0.16734188795089722,,,,,83.6577
107,0.16723868250846863,,,,,84.4221
108,0.16713735461235046,,,,,85.1835
109,0.16703790426254272,,,,,85.9592
110,0.16694016754627228,,,,,86.7281
111,0.16684392094612122,,,,,87.4946
112,0.1667488068342209,,,,,88.2653
113,0.16665421426296234,,,,,89.0547
114,0.16655975580215454,,,,,89.8185
115,0.16646485030651093,,,,,90.5963
116,0.16636909544467926,,,,,91.3619
117,0.16627247631549835,,,,,92.1324
118,0.1661749631166458,,,,,92.9038
119,0.1660766452550888,,,,,93.68
120,0.16597791016101837,,,,,94.4514
121,0.16587890684604645,,,,,95.2436
122,0.1657799929380417,,,,,96.035
123,0.16568134725093842,,,,,96.8239
124,0.16558323800563812,,,,,97.5892
125,0.16548554599285126,,,,,98.3557
126,0.16538846492767334,,,,,99.1328
127,0.16529183089733124,,,,,99.8992
128,0.16519570350646973,,,,,100.6689
129,0.16509990394115448,,,,,101.4341
130,0.16500437259674072,,,,,102.2092
131,0.1649089753627777,,,,,102.9543
132,0.16481377184391022,,,,,103.7328
133,0.16471855342388153,,,,,104.5
134,0.16462332010269165,,,,,105.27
135,0.16452814638614655,,,,,106.0594
136,0.16443297266960144,,,,,106.8308
137,0.16433793306350708,,,,,107.5946
138,0.1642429381608963,,,,,108.3581
139,0.16414803266525269,,,,,109.1384
140,0.1640532910823822,,,,,109.8849
141,0.16395865380764008,,,,,110.6635
142,0.16386418044567108,,,,,111.439
143,0.1637699007987976,,,,,112.2171
144,0.16367579996585846,,,,,112.9768
145,0.16358187794685364,,,,,113.7499
146,0.16348819434642792,,,,,114.5166
147,0.1633947491645813,,,,,115.292
148,0.163301482796669,,,,,116.0569
149,0.1632084846496582,,,,,116.8102
150,0.16311559081077576,,,,,117.5758
151,0.1630229502916336,,,,,118.337
152,0.16293039917945862,,,,,119.1162
153,0.16283804178237915,,,,,119.8663
154,0.1627458781003952,,,,,120.644
155,0.1626538336277008,,,,,121.4095
156,0.16256201267242432,,,,,122.1894
157,0.16247032582759857,,,,,122.9543
158,0.16237883269786835,,,,,123.7349
159,0.16228757798671722,,,,,124.4952
160,0.16219644248485565,,,,,125.2823
161,0.16210560500621796,,,,,126.044
162,0.1620148867368698,,,,,126.8099
163,0.16192442178726196,,,,,127.5738
164,0.16183415055274963,,,,,128.3409
165,0.16174419224262238,,,,,129.1174
166,0.16165432333946228,,,,,129.8876
167,0.1615646928548813,,,,,130.6656
168,0.161475270986557,,,,,131.4364
169,0.16138607263565063,,,,,132.2043
170,0.16129712760448456,,,,,132.9791
171,0.1612083464860916,,,,,133.7426
172,0.16111977398395538,,,,,134.5057
173,0.16103138029575348,,,,,135.273
174,0.16094328463077545,,,,,136.0648
175,0.16085538268089294,,,,,136.8188
176,0.16076770424842834,,,,,137.5918
177,0.16068027913570404,,,,,138.353
178,0.16059303283691406,,,,,139.118
179,0.16050595045089722,,,,,139.8906
180,0.16041916608810425,,,,,140.6675
181,0.160332590341568,,,,,141.4489
182,0.16024625301361084,,,,,142.2345
183,0.1601601094007492,,,,,143.0029
184,0.16007424890995026,,,,,143.7698
185,0.15998858213424683,,,,,144.5334
186,0.1599031388759613,,,,,145.2926
187,0.15981797873973846,,,,,146.0576
188,0.15973304212093353,,,,,146.8336
189,0.15964826941490173,,,,,147.6066
190,0.1595638245344162,,,,,148.3643
191,0.159479558467865,,,,,149.1423
192,0.1593955159187317,,,,,149.907
193,0.15931174159049988,,,,,150.6569
194,0.15922820568084717,,,,,151.4198
195,0.15914489328861237,,,,,152.1916
196,0.15906180441379547,,,,,152.9556
197,0.15897896885871887,,,,,153.7307
198,0.15889641642570496,,,,,154.5077
199,0.15881401300430298,,,,,155.3016
200,0.15873190760612488,5.006583213806152,3.356705904006958,3.4132652282714844,0.0811,156.1551
201,0.1586500108242035,,,,,156.9226
202,0.1585683822631836,,,,,157.6906
203,0.1584869921207428,,,,,158.467
204,0.1584058552980423,,,,,159.2351
205,0.15832489728927612,,,,,160.0035
206,0.15824423730373383,,,,,160.7744
207,0.15816380083560944,,,,,161.5304
208,0.15808363258838654,,,,,162.3033
209,0.15800362825393677,,,,,163.0744
210,0.15792392194271088,,,,,163.8342
211,0.1578444540500641,,,,,164.5851
212,0.1577652245759964,,,,,165.3476
213,0.1576862782239914,,,,,166.104
214,0.15760748088359833,,,,,166.8833
215,0.15752902626991272,,,,,167.7238
216,0.15745076537132263,,,,,168.4875
217,0.15737275779247284,,,,,169.2574
218,0.15729500353336334,,,,,170.032
219,0.15721739828586578,,,,,170.8012
220,0.15714018046855927,,,,,171.5667
221,0.15706314146518707,,,,,172.3302
222,0.1569862961769104,,,,,173.0924
223,0.15690971910953522,,,,,173.8594
224,0.15683339536190033,,,,,174.6144
225,0.15675732493400574,,,,,175.3745
226,0.15668141841888428,,,,,176.1381
227,0.15660585463047028,,,,,176.8939
228,0.1565304845571518,,,,,177.6598
229,0.1564553678035736,,,,,178.4118
230,0.15638047456741333,,,,,179.1892
231,0.15630577504634857,,,,,179.9474
232,0.15623143315315247,,,,,180.7177
233,0.1561572402715683,,,,,181.4821
234,0.1560833752155304,,,,,182.2267
235,0.15600962936878204,,,,,182.9857
236,0.15593621134757996,,,,,183.75
237,0.1558629721403122,,,,,184.5454
238,0.15578998625278473,,,,,185.3248
239,0.1557171791791916,,,,,186.0849
240,0.15564468502998352,,,,,186.8563
241,0.15557245910167694,,,,,187.6181
242,0.1555003672838211,,,,,188.3713
243,0.15542854368686676,,,,,189.1383
244,0.1553569883108139,,,,,189.9015
245,0.15528568625450134,,,,,190.6717
