epoch,total_loss,full_rollout_train_mse,full_rollout_test_mse_clean,full_rollout_test_mse_noisy,eval_seconds,elapsed_seconds
0,3.996734619140625,1276.5205078125,1329.206298828125,1329.293701171875,0.0647,0.9151
1,3.4127492904663086,,,,,1.6912
2,2.8823580741882324,,,,,2.4621
3,2.4069433212280273,,,,,3.2356
4,1.9868857860565186,,,,,4.0036
5,1.6213496923446655,,,,,4.7581
6,1.308183193206787,,,,,5.5145
7,1.044021725654602,,,,,6.2838
8,0.8245430588722229,,,,,7.0391
9,0.644848108291626,,,,,7.7998
10,0.4999080002307892,,,,,8.5501
11,0.38492485880851746,,,,,9.3002
12,0.2955264151096344,,,,,10.0534
13,0.2278248369693756,,,,,10.8009
14,0.17839907109737396,,,,,11.5784
15,0.14423790574073792,,,,,12.3278
16,0.12266424298286438,,,,,13.067
17,0.11125870048999786,,,,,13.8194
18,0.10779990255832672,,,,,14.5681
19,0.11023388803005219,,,,,15.3133
20,0.11667706817388535,,,,,16.0627
21,0.12544763088226318,,,,,16.8069
22,0.13510754704475403,,,,,17.5452
23,0.14449478685855865,,,,,18.2903
24,0.15273012220859528,,,,,19.0344
25,0.1591954529285431,,,,,19.775
26,0.16349390149116516,,,,,20.5219
27,0.16540327668190002,,,,,21.2647
28,0.16483727097511292,,,,,22.0167
29,0.16181795299053192,,,,,22.7572
30,0.1564621925354004,,,,,23.5025
31,0.14897769689559937,,,,,24.2512
32,0.1396644115447998,,,,,24.9951
33,0.12891393899917603,,,,,25.7424
34,0.11720152944326401,,,,,26.522
35,0.10506580770015717,,,,,27.2759
36,0.09307487308979034,,,,,28.0353
37,0.08178170770406723,,,,,28.8146
38,0.0716760903596878,,,,,29.5624
39,0.06313963979482651,,,,,30.3231
40,0.056412920355796814,,,,,31.0811
41,0.05157859995961189,,,,,31.8372
42,0.04856417328119278,,,,,32.6066
43,0.04716257378458977,,,,,33.368
44,0.04706805571913719,,,,,34.144
45,0.04792005568742752,,,,,34.8957
46,0.04934893548488617,,,,,35.658
47,0.05101586878299713,,,,,36.418
48,0.052641861140728,,,,,37.1873
49,0.054023418575525284,,,,,37.9394
50,0.05503493547439575,,,,,38.7185
51,0.055620767176151276,,,,,39.4709
52,0.0557808056473732,,,,,40.2358
53,0.05555344372987747,,,,,40.9958
54,0.055000003427267075,,,,,41.7508
55,0.05419215187430382,,,,,42.503
56,0.053203288465738297,,,,,43.2664
57,0.05210356414318085,,,,,44.0476
58,0.050957176834344864,,,,,44.8086
59,0.04982087016105652,,,,,45.5691
60,0.04874274134635925,,,,,46.3498
61,0.04776100814342499,,,,,47.1117
62,0.04690270125865936,,,,,47.8682
63,0.046183258295059204,,,,,48.6363
64,0.0456068180501461,,,,,49.3989
65,0.045167576521635056,,,,,50.1577
66,0.04485229030251503,,,,,50.9118
67,0.04464292898774147,,,,,51.6725
68,0.04451938346028328,,,,,52.4312
69,0.044461313635110855,,,,,53.1847
70,0.044449422508478165,,,,,53.9528
71,0.044465743005275726,,,,,54.7079
72,0.0444936528801918,,,,,55.4688
73,0.04451775550842285,,,,,56.2462
74,0.04452413693070412,,,,,56.989
75,0.04450104385614395,,,,,57.7368
76,0.04443999007344246,,,,,58.4827
77,0.044336553663015366,,,,,59.2201
78,0.04419120028614998,,,,,59.9681
79,0.044009335339069366,,,,,60.7145
80,0.04380032420158386,,,,,61.4561
81,0.043576259166002274,,,,,62.2055
82,0.04334993660449982,,,,,62.9599
83,0.0431329719722271,,,,,63.6983
84,0.04293430596590042,,,,,64.452
85,0.04275928810238838,,,,,65.1935
86,0.0426095686852932,,,,,65.9337
87,0.04248356446623802,,,,,66.6739
88,0.04237737879157066,,,,,67.4198
89,0.04228603094816208,,,,,68.1615
90,0.04220423102378845,,,,,68.9165
91,0.04212724044919014,,,,,69.6604
92,0.04205118864774704,,,,,70.408
93,0.04197315499186516,,,,,71.1575
94,0.041891228407621384,,,,,71.9062
95,0.04180430620908737,,,,,72.6539
96,0.041711948812007904,,,,,73.4003
97,0.04161437973380089,,,,,74.1687
98,0.041512276977300644,,,,,74.9152
99,0.041406676173210144,,,,,75.662
100,0.04129880666732788,6.004988670349121,3.79154896736145,3.792111873626709,0.0848,76.498
101,0.04118986427783966,,,,,77.238
