noise_percent,init,train_mse_noisy,train_mse_clean,test_mse_noisy,test_mse_clean
0,xavier,0.05761091783642769,0.05761091783642769,0.09159140288829803,0.09159140288829803
0,default,0.062016528099775314,0.062016528099775314,0.08140052855014801,0.08140052855014801
2,xavier,0.060275666415691376,0.05756186693906784,0.09621129930019379,0.0936109870672226
2,default,0.03385623171925545,0.03116576373577118,0.07036580890417099,0.06867881119251251
7,xavier,0.09039990603923798,0.057611145079135895,0.1266489028930664,0.09372560679912567
7,default,0.06272152811288834,0.031069308519363403,0.10240606963634491,0.07068026810884476
15,xavier,0.19949932396411896,0.05831491947174072,0.2364095151424408,0.08793958276510239
15,default,0.17236867547035217,0.033529676496982574,0.20109376311302185,0.062276601791381836
