epoch,total_loss,mse_loss,elapsed_seconds
0,6.281196117401123,6.281196117401123,0.2019
1,6.247974395751953,6.247974395751953,0.2038
2,6.215018272399902,6.215018272399902,0.2052
3,6.1821794509887695,6.1821794509887695,0.2062
4,6.149433612823486,6.149433612823486,0.207
5,6.1169514656066895,6.1169514656066895,0.2076
6,6.084465026855469,6.084465026855469,0.2083
7,6.052005767822266,6.052005767822266,0.2093
8,6.0194525718688965,6.0194525718688965,0.21
9,5.9867262840271,5.9867262840271,0.2107
10,5.953845024108887,5.953845024108887,0.2113
11,5.920680046081543,5.920680046081543,0.2124
12,5.887176513671875,5.887176513671875,0.213
13,5.853339195251465,5.853339195251465,0.2137
14,5.81911039352417,5.81911039352417,0.2143
15,5.7843708992004395,5.7843708992004395,0.2152
16,5.749162197113037,5.749162197113037,0.2159
17,5.713460922241211,5.713460922241211,0.2166
18,5.677219390869141,5.677219390869141,0.2172
19,5.640512943267822,5.640512943267822,0.2179
20,5.6033525466918945,5.6033525466918945,0.2186
21,5.565639972686768,5.565639972686768,0.2193
22,5.5273261070251465,5.5273261070251465,0.2199
23,5.488278388977051,5.488278388977051,0.2205
24,5.448707103729248,5.448707103729248,0.2211
25,5.408491611480713,5.408491611480713,0.2218
26,5.36746072769165,5.36746072769165,0.2224
27,5.325597286224365,5.325597286224365,0.2229
28,5.282822608947754,5.282822608947754,0.2235
29,5.239072799682617,5.239072799682617,0.2242
30,5.194466590881348,5.194466590881348,0.2247
31,5.148969650268555,5.148969650268555,0.2253
32,5.102489471435547,5.102489471435547,0.2259
33,5.0551228523254395,5.0551228523254395,0.2279
34,5.006863594055176,5.006863594055176,0.2292
35,4.957585334777832,4.957585334777832,0.2298
36,4.907315254211426,4.907315254211426,0.2304
37,4.8557891845703125,4.8557891845703125,0.231
38,4.803241729736328,4.803241729736328,0.2317
39,4.749388217926025,4.749388217926025,0.234
40,4.694390296936035,4.694390296936035,0.235
41,4.638319969177246,4.638319969177246,0.2357
42,4.5812201499938965,4.5812201499938965,0.2373
43,4.523009300231934,4.523009300231934,0.2397
44,4.463992118835449,4.463992118835449,0.2405
45,4.403841018676758,4.403841018676758,0.2413
46,4.342729568481445,4.342729568481445,0.2421
47,4.280515193939209,4.280515193939209,0.2443
48,4.217075824737549,4.217075824737549,0.2453
49,4.152554988861084,4.152554988861084,0.2459
50,4.086888313293457,4.086888313293457,0.2465
51,4.0202178955078125,4.0202178955078125,0.2472
52,3.9528229236602783,3.9528229236602783,0.2478
53,3.8846912384033203,3.8846912384033203,0.2484
54,3.8157877922058105,3.8157877922058105,0.2491
55,3.74592924118042,3.74592924118042,0.2498
56,3.6754372119903564,3.6754372119903564,0.2518
57,3.6044373512268066,3.6044373512268066,0.2529
58,3.5331950187683105,3.5331950187683105,0.2543
59,3.4618377685546875,3.4618377685546875,0.2561
60,3.3901352882385254,3.3901352882385254,0.2568
61,3.318345546722412,3.318345546722412,0.2574
62,3.2455363273620605,3.2455363273620605,0.258
63,3.173250675201416,3.173250675201416,0.2586
64,3.1017980575561523,3.1017980575561523,0.2592
65,3.0313305854797363,3.0313305854797363,0.2601
66,2.9619314670562744,2.9619314670562744,0.2607
67,2.893944263458252,2.893944263458252,0.2613
68,2.8276095390319824,2.8276095390319824,0.2618
69,2.7632269859313965,2.7632269859313965,0.2624
70,2.700638771057129,2.700638771057129,0.263
71,2.6401445865631104,2.6401445865631104,0.2635
72,2.581773519515991,2.581773519515991,0.2641
73,2.5258853435516357,2.5258853435516357,0.2646
74,2.472907543182373,2.472907543182373,0.2652
75,2.422948122024536,2.422948122024536,0.2657
76,2.376059055328369,2.376059055328369,0.2663
77,2.3322997093200684,2.3322997093200684,0.2668
78,2.291630506515503,2.291630506515503,0.2674
79,2.253718614578247,2.253718614578247,0.2679
80,2.2183353900909424,2.2183353900909424,0.2685
81,2.185204029083252,2.185204029083252,0.269
82,2.153582811355591,2.153582811355591,0.2696
83,2.123685121536255,2.123685121536255,0.2701
84,2.0950331687927246,2.0950331687927246,0.271
85,2.067453622817993,2.067453622817993,0.2717
86,2.0404067039489746,2.0404067039489746,0.2723
87,2.0134544372558594,2.0134544372558594,0.273
88,1.9862267971038818,1.9862267971038818,0.2737
89,1.9587287902832031,1.9587287902832031,0.2745
90,1.9309126138687134,1.9309126138687134,0.2751
91,1.902827501296997,1.902827501296997,0.2757
92,1.8746049404144287,1.8746049404144287,0.2763
93,1.8464025259017944,1.8464025259017944,0.2769
94,1.8184086084365845,1.8184086084365845,0.2774
95,1.7907994985580444,1.7907994985580444,0.278
96,1.7636337280273438,1.7636337280273438,0.2785
97,1.7367441654205322,1.7367441654205322,0.2791
98,1.710636854171753,1.710636854171753,0.2797
99,1.685377836227417,1.685377836227417,0.2802
100,1.6609996557235718,1.6609996557235718,0.2808
101,1.637491226196289,1.637491226196289,0.2813
102,1.6148744821548462,1.6148744821548462,0.2819
103,1.5931485891342163,1.5931485891342163,0.2824
104,1.5721784830093384,1.5721784830093384,0.283
105,1.5516846179962158,1.5516846179962158,0.2835
106,1.5320100784301758,1.5320100784301758,0.2841
107,1.513164758682251,1.513164758682251,0.2846
108,1.4951565265655518,1.4951565265655518,0.2852
109,1.4779781103134155,1.4779781103134155,0.2857
110,1.461626648902893,1.461626648902893,0.2863
111,1.4460959434509277,1.4460959434509277,0.2868
112,1.4313760995864868,1.4313760995864868,0.2876
113,1.4174379110336304,1.4174379110336304,0.2886
114,1.4045099020004272,1.4045099020004272,0.2893
115,1.3927656412124634,1.3927656412124634,0.2899
116,1.381773829460144,1.381773829460144,0.2905
117,1.371490478515625,1.371490478515625,0.291
118,1.3620530366897583,1.3620530366897583,0.2916
119,1.3533588647842407,1.3533588647842407,0.2922
120,1.3452414274215698,1.3452414274215698,0.2927
121,1.337668538093567,1.337668538093567,0.2933
122,1.3306350708007812,1.3306350708007812,0.2938
123,1.3239691257476807,1.3239691257476807,0.2944
124,1.3175952434539795,1.3175952434539795,0.2949
125,1.311439037322998,1.311439037322998,0.2955
126,1.3054317235946655,1.3054317235946655,0.296
127,1.2995216846466064,1.2995216846466064,0.2966
128,1.2936632633209229,1.2936632633209229,0.2972
129,1.2878079414367676,1.2878079414367676,0.2977
130,1.2819287776947021,1.2819287776947021,0.2983
131,1.2760236263275146,1.2760236263275146,0.2988
132,1.2701022624969482,1.2701022624969482,0.2995
133,1.2641332149505615,1.2641332149505615,0.3001
134,1.258131980895996,1.258131980895996,0.3007
