epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,batch_loss_running_mean,optimizer_step,elapsed_seconds
0,1276.571044921875,1276.571044921875,1329.2071533203125,1329.2071533203125,356.31918716430664,20,1.0043
1,103.99494934082031,103.99494934082031,,,56.344330596923825,40,1.8115
2,20.982202529907227,20.982202529907227,,,14.16926658153534,60,2.6526
3,8.77357292175293,8.77357292175293,,,6.689835500717163,80,4.0453
4,5.48433780670166,5.48433780670166,,,5.558335053920746,100,4.9335
5,4.7773919105529785,4.7773919105529785,,,5.232971757650375,120,5.8264
6,4.65592098236084,4.65592098236084,,,5.334003543853759,140,6.6399
7,4.48273229598999,4.48273229598999,,,4.485209709405899,160,7.4388
8,4.182236671447754,4.182236671447754,,,4.343387398123741,180,8.2591
9,4.032670021057129,4.032670021057129,,,4.287954097986221,200,9.1442
10,3.879110813140869,3.879110813140869,,,4.382223463058471,220,9.9819
11,3.812669038772583,3.812669038772583,,,3.889161843061447,240,10.853
12,3.6346049308776855,3.6346049308776855,,,3.6741134405136107,260,11.6484
13,3.443467378616333,3.443467378616333,,,3.8473595827817917,280,12.4862
14,3.4549756050109863,3.4549756050109863,,,3.5468649595975874,300,13.2918
15,3.229233980178833,3.229233980178833,,,3.7272344052791597,320,14.2162
16,3.2619481086730957,3.2619481086730957,,,3.5552878946065904,340,15.058
17,3.181032180786133,3.181032180786133,,,3.2747226864099503,360,15.964
18,3.0791409015655518,3.0791409015655518,,,3.056867998838425,380,16.8469
19,2.9515748023986816,2.9515748023986816,,,3.2347664654254915,400,17.6763
20,3.246558427810669,3.246558427810669,,,3.3628560662269593,420,18.4356
21,3.0112171173095703,3.0112171173095703,,,3.106185680627823,440,19.2484
22,2.7499618530273438,2.7499618530273438,,,2.869918242096901,460,20.0208
23,2.7072699069976807,2.7072699069976807,,,2.8603752359747885,480,20.8644
24,2.5929806232452393,2.5929806232452393,,,2.766572451591492,500,21.8466
25,2.599170207977295,2.599170207977295,,,2.763641744852066,520,22.6639
26,2.442838430404663,2.442838430404663,,,2.4775261282920837,540,23.4818
27,2.4499306678771973,2.4499306678771973,,,2.6357215493917465,560,24.2805
