noise_percent,xavier_train_median,default_train_median,xavier_test_median,default_test_median,train_ratio,test_ratio,final_checkpoint_gap,default_late_oscillation_span
0,0.06608962640166283,0.03578290529549122,0.10086758807301521,0.07306277379393578,1.846960884140125,1.3805606170592342,0.004405610263347626,0.11876014433801174
2,0.06890832260251045,0.03860737942159176,0.1011563390493393,0.07272306084632874,1.7848484832402904,1.3909802182706938,0.02641943469643593,0.10663852840662003
7,0.09900981560349464,0.06712455675005913,0.10058636590838432,0.07452662661671638,1.475016303975928,1.3496701846668948,0.02767837792634964,0.18942063301801682
15,0.2083437368273735,0.17697617411613464,0.09660103544592857,0.06750813126564026,1.177241726847677,1.4309540737516429,0.027130648493766785,0.10451433062553406
