parameter,shape,fan_in,fan_out,default_std,xavier_bound,xavier_std,std_ratio
add.edges.w_rbf,"(4, 7, 3)",21,12,0.10132097452878952,0.4264014327112209,0.2364339530467987,2.3335143996233274
lean.edges.w_rbf,"(6, 4, 3)",12,18,0.0960329920053482,0.4472135954999579,0.24961839616298676,2.5992983343587293
