epoch,total_loss,state_mse,pinn_loss,elapsed_seconds
0,9.489133834838867,9.489121437072754,1.239776611328125e-05,0.2782
1,9.358365058898926,9.358351707458496,1.33514404296875e-05,0.5186
2,9.251123428344727,9.251110076904297,1.33514404296875e-05,0.776
3,9.180928230285645,9.180913925170898,1.430511474609375e-05,0.9611
4,9.121999740600586,9.121983528137207,1.621246337890625e-05,1.156
5,9.08732795715332,9.087309837341309,1.811981201171875e-05,1.4017
6,9.054417610168457,9.054397583007812,2.002716064453125e-05,1.5942
7,9.012633323669434,9.01261043548584,2.288818359375e-05,1.7866
8,8.969148635864258,8.969122886657715,2.574920654296875e-05,1.9788
9,8.923493385314941,8.92346477508545,2.86102294921875e-05,2.1721
10,8.870741844177246,8.870710372924805,3.147125244140625e-05,2.4116
11,8.814276695251465,8.814242362976074,3.4332275390625e-05,2.6227
12,8.760635375976562,8.760598182678223,3.719329833984375e-05,2.8096
13,8.711434364318848,8.711394309997559,4.00543212890625e-05,2.9903
14,8.664358139038086,8.664316177368164,4.1961669921875e-05,3.18
15,8.618548393249512,8.61850357055664,4.482269287109375e-05,3.3681
16,8.574979782104492,8.574933052062988,4.673004150390625e-05,3.5609
17,8.533289909362793,8.533241271972656,4.863739013671875e-05,3.7446
18,8.490815162658691,8.490764617919922,5.054473876953125e-05,3.9287
19,8.44542121887207,8.445368766784668,5.245208740234375e-05,4.1154
20,8.397942543029785,8.39788818359375,5.435943603515625e-05,4.3514
21,8.350744247436523,8.350687980651855,5.626678466796875e-05,4.537
22,8.305150032043457,8.305091857910156,5.817413330078125e-05,4.7251
23,8.26126480102539,8.261204719543457,6.008148193359375e-05,4.9162
24,8.219404220581055,8.219342231750488,6.198883056640625e-05,5.1094
25,8.179892539978027,8.179827690124512,6.4849853515625e-05,5.298
26,8.141701698303223,8.141634941101074,6.67572021484375e-05,5.5773
27,8.102811813354492,8.102743148803711,6.866455078125e-05,5.7683
28,8.06209659576416,8.06202507019043,7.152557373046875e-05,5.959
29,8.020115852355957,8.020042419433594,7.343292236328125e-05,6.24
30,7.978251934051514,7.978175640106201,7.62939453125e-05,6.4355
31,7.938071250915527,7.937992572784424,7.867813110351562e-05,6.6252
32,7.901130676269531,7.901049613952637,8.106231689453125e-05,6.8266
33,7.867187023162842,7.867103576660156,8.344650268554688e-05,7.0315
34,7.833525657653809,7.833439350128174,8.630752563476562e-05,7.2439
35,7.801065921783447,7.8009772300720215,8.869171142578125e-05,7.4452
36,7.7712626457214355,7.771171569824219,9.107589721679688e-05,7.6471
37,7.741474628448486,7.741381645202637,9.298324584960938e-05,7.8483
38,7.711494445800781,7.711399555206299,9.489059448242188e-05,8.0652
39,7.686094760894775,7.685997486114502,9.72747802734375e-05,8.2995
40,7.663088798522949,7.662990093231201,9.870529174804688e-05,8.5037
41,7.625064373016357,7.624963283538818,0.0001010894775390625,8.7054
42,7.624971866607666,7.624868392944336,0.00010347366333007812,8.9109
43,7.613842487335205,7.613738059997559,0.00010442733764648438,9.1169
44,7.610063076019287,7.609956741333008,0.00010633468627929688,9.3295
45,7.552301406860352,7.552192211151123,0.00010919570922851562,9.5409
46,7.523401260375977,7.523289203643799,0.00011205673217773438,9.7556
47,7.472634792327881,7.472520351409912,0.00011444091796875,9.9689
48,7.461336135864258,7.461219787597656,0.0001163482666015625,10.179
49,7.434172630310059,7.434053897857666,0.00011873245239257812,10.3948
50,7.3976593017578125,7.397537708282471,0.00012159347534179688,10.6865
51,7.385660171508789,7.385535717010498,0.00012445449829101562,10.9068
52,7.351134777069092,7.35100793838501,0.00012683868408203125,11.1177
53,7.335883617401123,7.33575439453125,0.00012922286987304688,11.3292
54,7.302084922790527,7.301953315734863,0.0001316070556640625,11.5414
55,7.286685943603516,7.286551475524902,0.00013446807861328125,11.7498
56,7.255712985992432,7.255576133728027,0.00013685226440429688,11.958
57,7.235384941101074,7.235245704650879,0.0001392364501953125,12.1683
58,7.213720798492432,7.2135796546936035,0.000141143798828125,12.3799
59,7.185125350952148,7.184981822967529,0.00014352798461914062,12.5909
60,7.168076038360596,7.1679301261901855,0.00014591217041015625,12.8016
61,7.140222072601318,7.140073776245117,0.00014829635620117188,13.0127
62,7.119644641876221,7.1194939613342285,0.0001506805419921875,13.2414
63,7.097944736480713,7.097792148590088,0.000152587890625,13.4595
64,7.072451591491699,7.072296619415283,0.00015497207641601562,13.6869
65,7.053556442260742,7.053398609161377,0.00015783309936523438,13.8969
66,7.028738498687744,7.028578758239746,0.00015974044799804688,14.1193
67,7.007653713226318,7.007491588592529,0.0001621246337890625,14.3331
68,6.986237049102783,6.986072540283203,0.00016450881958007812,14.5466
69,6.962399482727051,6.9622321128845215,0.00016736984252929688,14.7607
70,6.9426069259643555,6.942437171936035,0.0001697540283203125,14.9818
71,6.919106960296631,6.9189348220825195,0.00017213821411132812,15.2033
72,6.89840030670166,6.898225784301758,0.00017452239990234375,15.4223
73,6.876864910125732,6.876688003540039,0.00017690658569335938,15.6372
74,6.854645729064941,6.854466438293457,0.000179290771484375,15.8557
75,6.834417819976807,6.834236145019531,0.00018167495727539062,16.0716
76,6.811935901641846,6.811751842498779,0.00018405914306640625,16.2926
77,6.791792869567871,6.791606426239014,0.00018644332885742188,16.514
78,6.769844055175781,6.769655227661133,0.0001888275146484375,16.7334
79,6.749366283416748,6.749175071716309,0.00019121170043945312,16.9491
80,6.728045463562012,6.727851867675781,0.00019359588623046875,17.1674
81,6.707364082336426,6.707168102264404,0.00019598007202148438,17.3863
82,6.686592102050781,6.686393737792969,0.0001983642578125,17.5994
83,6.665754318237305,6.665553569793701,0.00020074844360351562,17.832
84,6.645333766937256,6.645130634307861,0.00020313262939453125,18.0572
85,6.62457275390625,6.6243672370910645,0.00020551681518554688,18.2784
86,6.604321002960205,6.6041131019592285,0.0002079010009765625,18.4995
87,6.583657264709473,6.583446979522705,0.00021028518676757812,18.7162
88,6.563509464263916,6.563296794891357,0.00021266937255859375,18.9313
89,6.543065547943115,6.542850494384766,0.00021505355834960938,19.1476
90,6.5229363441467285,6.522718906402588,0.000217437744140625,19.3633
91,6.502719402313232,6.502499580383301,0.00021982192993164062,19.5794
92,6.482545375823975,6.482323169708252,0.00022220611572265625,19.8504
93,6.462610721588135,6.462385654449463,0.000225067138671875,20.0676
94,6.442363739013672,6.442136764526367,0.0002269744873046875,20.286
95,6.42259407043457,6.422364711761475,0.00022935867309570312,20.5032
96,6.402381896972656,6.4021501541137695,0.00023174285888671875,20.7186
97,6.382548809051514,6.382314682006836,0.00023412704467773438,20.9355
98,6.362563133239746,6.362326622009277,0.00023651123046875,21.2563
99,6.342501640319824,6.3422627449035645,0.00023889541625976562,21.4673
100,6.322678089141846,6.322436809539795,0.00024127960205078125,21.761
101,6.302541255950928,6.302297592163086,0.00024366378784179688,21.9841
102,6.282487392425537,6.282241344451904,0.0002460479736328125,22.2026
103,6.262463092803955,6.262214660644531,0.0002484321594238281,22.4193
104,6.242126941680908,6.241876125335693,0.00025081634521484375,22.6399
105,6.221747398376465,6.221494197845459,0.0002532005310058594,22.8586
106,6.201343059539795,6.201087474822998,0.000255584716796875,23.077
107,6.180659770965576,6.180401802062988,0.0002579689025878906,23.2926
108,6.159651279449463,6.159390926361084,0.00026035308837890625,23.5111
109,6.138316631317139,6.138053894042969,0.0002627372741699219,23.7236
110,6.116635322570801,6.11637020111084,0.0002651214599609375,23.937
111,6.094517707824707,6.094250202178955,0.0002675056457519531,24.1476
112,6.071927547454834,6.071657657623291,0.00026988983154296875,24.3568
113,6.049094200134277,6.048821926116943,0.0002722740173339844,24.5679
114,6.029720306396484,6.029445648193359,0.000274658203125,24.777
115,6.082051753997803,6.081775665283203,0.0002760887145996094,24.9818
116,6.242702007293701,6.242422103881836,0.0002799034118652344,25.2166
117,6.2409257888793945,6.2406439781188965,0.0002818107604980469,25.4543
118,6.053623676300049,6.053340435028076,0.00028324127197265625,25.6802
119,6.07907247543335,6.078788757324219,0.0002837181091308594,25.8947
120,6.14782190322876,6.147536277770996,0.0002856254577636719,26.11
121,6.03070068359375,6.030412673950195,0.0002880096435546875,26.331
122,6.0205841064453125,6.020293235778809,0.00029087066650390625,26.5615
123,6.029733180999756,6.029439449310303,0.000293731689453125,26.7977
124,5.963601112365723,5.9633049964904785,0.0002961158752441406,27.0326
125,5.874674320220947,5.8743767738342285,0.00029754638671875,27.2521
126,5.981217861175537,5.980918884277344,0.0002989768981933594,27.4652
127,5.854510307312012,5.854207515716553,0.0003027915954589844,27.6837
128,5.925468444824219,5.925162315368652,0.00030612945556640625,27.9148
129,5.845200061798096,5.8448920249938965,0.00030803680419921875,28.1423
130,5.825719356536865,5.825409889221191,0.0003094673156738281,28.3587
131,5.8431220054626465,5.84281063079834,0.0003113746643066406,28.577
132,5.7946085929870605,5.7942938804626465,0.0003147125244140625,28.797
133,5.800712585449219,5.8003950119018555,0.00031757354736328125,29.0259
134,5.808584213256836,5.808264255523682,0.0003199577331542969,29.2562
135,5.770749092102051,5.7704267501831055,0.0003223419189453125,29.4823
136,5.749393463134766,5.749069690704346,0.0003237724304199219,29.6999
137,5.756369590759277,5.756043910980225,0.0003256797790527344,29.917
138,5.71513032913208,5.714801788330078,0.0003285408020019531,30.1334
139,5.718550205230713,5.718218803405762,0.0003314018249511719,30.355
140,5.706930160522461,5.706596851348877,0.0003333091735839844,30.578
141,5.690751075744629,5.69041633605957,0.00033473968505859375,30.8409
142,5.690247535705566,5.689910888671875,0.00033664703369140625,31.0528
143,5.668298244476318,5.667958736419678,0.000339508056640625,31.2721
144,5.665968894958496,5.6656270027160645,0.0003418922424316406,31.491
145,5.640792369842529,5.640449523925781,0.0003428459167480469,31.7079
146,5.644372940063477,5.644028186798096,0.0003447532653808594,31.9654
147,5.6223320960998535,5.621984958648682,0.000347137451171875,32.1844
148,5.623129367828369,5.622779846191406,0.0003495216369628906,32.412
149,5.610499382019043,5.610147953033447,0.0003514289855957031,32.635
150,5.598669528961182,5.598316669464111,0.0003528594970703125,32.8584
151,5.5948710441589355,5.594516277313232,0.000354766845703125,33.0753
152,5.577365398406982,5.5770087242126465,0.0003566741943359375,33.2973
153,5.575653076171875,5.575294017791748,0.0003590583801269531,33.5242
154,5.5615434646606445,5.561182498931885,0.0003609657287597656,33.7466
155,5.559531211853027,5.559169292449951,0.0003619194030761719,33.9641
156,5.54691219329834,5.546547889709473,0.0003643035888671875,34.1857
157,5.542699813842773,5.542333126068115,0.0003666877746582031,34.4091
158,5.5309624671936035,5.530594348907471,0.0003681182861328125,34.6351
159,5.525607109069824,5.525237560272217,0.0003695487976074219,34.8587
160,5.516360759735107,5.515989303588867,0.0003714561462402344,35.0826
161,5.510683536529541,5.51030969619751,0.00037384033203125,35.3064
162,5.503074645996094,5.502699375152588,0.0003752708435058594,35.5322
163,5.495800018310547,5.495423316955566,0.00037670135498046875,35.7493
164,5.488506317138672,5.488127708435059,0.00037860870361328125,35.9666
165,5.481475353240967,5.481094837188721,0.00038051605224609375,36.1889
166,5.474325180053711,5.473942756652832,0.00038242340087890625,36.4118
167,5.469156265258789,5.4687724113464355,0.0003838539123535156,36.6313
168,5.460813045501709,5.460427284240723,0.0003857612609863281,36.8496
169,5.4564008712768555,5.456013202667236,0.0003876686096191406,37.0711
170,5.448174953460693,5.447786331176758,0.0003886222839355469,37.2942
171,5.4429545402526855,5.442564010620117,0.0003905296325683594,37.5136
172,5.437152862548828,5.436760425567627,0.0003924369812011719,37.7327
173,5.430464267730713,5.430070400238037,0.00039386749267578125,37.952
174,5.426113605499268,5.425718307495117,0.0003952980041503906,38.1708
175,5.419238567352295,5.418841361999512,0.0003972053527832031,38.3921
176,5.413679122924805,5.413280487060547,0.0003986358642578125,38.6104
177,5.409184455871582,5.408784866333008,0.00039958953857421875,38.828
178,5.403045654296875,5.402644157409668,0.00040149688720703125,39.0545
179,5.397464752197266,5.397061824798584,0.0004029273986816406,39.2696
180,5.3932976722717285,5.392893314361572,0.00040435791015625,39.5894
181,5.388620376586914,5.388214111328125,0.0004062652587890625,39.8106
182,5.382708549499512,5.382301330566406,0.00040721893310546875,40.0315
183,5.377508163452148,5.37709903717041,0.00040912628173828125,40.2468
184,5.373411178588867,5.373000621795654,0.0004105567932128906,40.4648
185,5.3693528175354,5.368941307067871,0.0004115104675292969,40.6807
186,5.364948272705078,5.364534854888916,0.0004134178161621094,40.899
187,5.360123634338379,5.3597092628479,0.0004143714904785156,41.1168
188,5.355589389801025,5.355173110961914,0.0004162788391113281,41.3347
189,5.351308345794678,5.35089111328125,0.0004172325134277344,41.551
190,5.347445011138916,5.3470258712768555,0.0004191398620605469,41.7679
191,5.344242572784424,5.343822479248047,0.0004200935363769531,41.9787
192,5.343782424926758,5.343360424041748,0.0004220008850097656,42.1948
193,5.3495001792907715,5.349078178405762,0.0004220008850097656,42.4063
194,5.3856964111328125,5.385271072387695,0.0004253387451171875,42.7462
195,5.3562822341918945,5.355857849121094,0.00042438507080078125,42.9735
