epoch,total_loss,state_mse,pinn_loss,elapsed_seconds
0,7.490787982940674,7.490756511688232,3.147125244140625e-05,0.4604
1,5.49756383895874,5.4975361824035645,2.765655517578125e-05,1.0104
2,4.616248607635498,4.616224765777588,2.384185791015625e-05,1.4874
3,4.443352222442627,4.443326950073242,2.5272369384765625e-05,1.8225
4,4.101978778839111,4.101951599121094,2.7179718017578125e-05,2.1859
5,3.770045042037964,3.7700183391571045,2.6702880859375e-05,2.5355
6,2.8322408199310303,2.832216262817383,2.4557113647460938e-05,2.8835
7,2.131943464279175,2.1319212913513184,2.2172927856445312e-05,3.2182
8,1.8255562782287598,1.8255367279052734,1.9550323486328125e-05,3.5326
9,2.167649984359741,2.167633295059204,1.6689300537109375e-05,3.9598
10,2.424025297164917,2.4240095615386963,1.5735626220703125e-05,4.5367
11,2.6082265377044678,2.608210802078247,1.5735626220703125e-05,5.0396
12,2.490302085876465,2.490285634994507,1.6450881958007812e-05,5.5444
13,2.3504114151000977,2.3503923416137695,1.9073486328125e-05,5.9889
14,2.1234166622161865,2.123394727706909,2.193450927734375e-05,6.4509
15,2.027587890625,2.0275628566741943,2.5033950805664062e-05,6.8327
16,2.135817766189575,2.1357908248901367,2.6941299438476562e-05,7.1629
17,2.068272113800049,2.0682437419891357,2.8371810913085938e-05,7.5324
18,1.9725617170333862,1.9725323915481567,2.9325485229492188e-05,7.9388
19,1.8211685419082642,1.8211385011672974,3.0040740966796875e-05,8.3407
20,1.6710186004638672,1.6709880828857422,3.0517578125e-05,8.8115
21,1.5959742069244385,1.595943570137024,3.063678741455078e-05,9.1654
22,1.5153201818466187,1.5152897834777832,3.039836883544922e-05,9.5849
23,1.4926518201828003,1.4926217794418335,3.0040740966796875e-05,9.9701
24,1.4756003618240356,1.4755709171295166,2.944469451904297e-05,10.3354
25,1.5231627225875854,1.5231337547302246,2.8967857360839844e-05,10.8197
26,1.2705116271972656,1.2704814672470093,3.0159950256347656e-05,11.1952
27,1.2414312362670898,1.2414007186889648,3.0517578125e-05,11.6347
28,1.3326534032821655,1.3326228857040405,3.0517578125e-05,12.0085
