epoch,total_loss,mse_loss,elapsed_seconds
0,2317.835205078125,2317.835205078125,0.2372
1,2114.507080078125,2114.507080078125,0.2816
2,1917.914794921875,1917.914794921875,0.331
3,1726.8284912109375,1726.8284912109375,0.3814
4,1535.5487060546875,1535.5487060546875,0.4266
5,1327.572509765625,1327.572509765625,0.4841
6,1147.5667724609375,1147.5667724609375,0.5312
7,1012.84912109375,1012.84912109375,0.5727
8,900.5345458984375,900.5345458984375,0.614
9,802.5286865234375,802.5286865234375,0.6545
10,715.1500244140625,715.1500244140625,0.6927
11,636.1049194335938,636.1049194335938,0.7315
12,563.7832641601562,563.7832641601562,0.7723
13,497.0564880371094,497.0564880371094,0.8124
14,435.1778259277344,435.1778259277344,0.8617
15,377.70513916015625,377.70513916015625,0.8973
16,324.4269104003906,324.4269104003906,0.9321
17,275.2913818359375,275.2913818359375,0.9694
18,230.3447265625,230.3447265625,1.0062
19,189.67596435546875,189.67596435546875,1.0433
20,153.37216186523438,153.37216186523438,1.083
21,121.4816665649414,121.4816665649414,1.1253
22,93.98673248291016,93.98673248291016,1.1641
23,70.78593444824219,70.78593444824219,1.2044
24,51.68635940551758,51.68635940551758,1.2442
25,36.40746307373047,36.40746307373047,1.2871
26,24.598108291625977,24.598108291625977,1.328
27,15.866334915161133,15.866334915161133,1.3712
28,9.809810638427734,9.809810638427734,1.4173
29,6.026378631591797,6.026378631591797,1.4636
30,4.111403465270996,4.111403465270996,1.5109
31,3.785956621170044,3.785956621170044,1.5563
32,5.247180938720703,5.247180938720703,1.598
33,8.284994125366211,8.284994125366211,1.6454
34,11.972323417663574,11.972323417663574,1.6932
35,15.499038696289062,15.499038696289062,1.74
36,18.331199645996094,18.331199645996094,1.7932
37,20.182395935058594,20.182395935058594,1.8429
38,20.95293426513672,20.95293426513672,1.8893
39,20.67386245727539,20.67386245727539,1.9385
40,19.477306365966797,19.477306365966797,2.0376
41,17.611135482788086,17.611135482788086,2.0893
42,15.508081436157227,15.508081436157227,2.1397
43,13.775982856750488,13.775982856750488,2.1846
44,12.898066520690918,12.898066520690918,2.2306
45,12.939717292785645,12.939717292785645,2.2759
46,13.526697158813477,13.526697158813477,2.3448
47,14.078946113586426,14.078946113586426,2.3959
48,14.207476615905762,14.207476615905762,2.4453
49,13.816986083984375,13.816986083984375,2.4939
50,12.968603134155273,12.968603134155273,2.6077
51,11.77904224395752,11.77904224395752,2.6549
