method,seed,updates,interval_objective,recorded_interval_objective,full_rollout_train_loss,recorded_full_rollout_train_loss
original,0,10000,0.002127487678080797,,0.062016528099775314,0.062016528099775314
original,1,10000,0.001138347783125937,,0.02246636152267456,0.02246636152267456
original,2,10000,0.002747890306636691,,0.03311996906995773,0.03311996906995773
observed_interval,0,10000,0.0002454330096952617,0.0002454330387990922,0.03255497291684151,0.03255497291684151
observed_interval,1,10000,0.0003890950756613165,0.00038909504655748606,0.023246198892593384,0.023246200755238533
observed_interval,2,10000,0.00020494070486165583,0.00020494067575782537,0.018137674778699875,0.018137674778699875
