initialization,architecture,condition,role,trajectory_MSE,temperature_MSE,species_mean_MSE,peak_temperature_K,temperature_rise_K,H2_MSE,H_MSE,O_MSE,O2_MSE,OH_MSE,H2O_MSE,HO2_MSE,H2O2_MSE,N2_MSE
random,base-OFF,1050 K / phi=0.9,training condition,2.8144243740230364,25.51019349536218,0.29267224942979797,1058.0076904296875,8.0076904296875,0.061997266087260555,0.4068103814447737,0.34020247355780586,0.23206686211449543,0.1430181196081205,0.16127948315062174,1.0541105016207986,0.2345164593394689,4.86979448363642e-05
random,base-OFF,1150 K / phi=1.3,held-out condition,3.155575479244108,29.800448829520953,0.19503399588001422,1159.597900390625,9.597900390625,0.0835710270894114,0.5118318873874383,0.12994204437178847,0.18977811812656495,0.4141894636581898,0.15464883985005232,0.25247102402025273,0.01886334549682627,1.0212919603616256e-05
random,base-ON,1050 K / phi=0.9,training condition,2.8665992989508498,25.494375213852315,0.35240197507290877,1058.5047607421875,8.5047607421875,0.18836050385808778,0.19213974312694548,0.42856628673531505,0.2831072641229633,0.23232459483863352,0.27571773547462736,1.2983851017172343,0.2683122103346829,0.004704335447688906
random,base-ON,1150 K / phi=1.3,held-out condition,3.146121980132455,29.78716842983664,0.18600570794310117,1159.913330078125,9.913330078125,0.08815080052806061,0.2155336436644792,0.1717684983783132,0.11448796815296854,0.3753561961769099,0.1568041049292111,0.44698824669349263,0.09500756053446524,0.009954352430010076
norm-matched dir1,base-OFF,1050 K / phi=0.9,training condition,0.28842104936266233,0.09825322900750685,0.3095508071799018,2606.85302734375,1556.85302734375,0.11729047721097825,0.3558530821805243,0.34238231770400457,0.2746830995535034,0.36364856198759127,0.26040786659861453,0.8890485546849204,0.18249532860589399,0.00014797609308509003
norm-matched dir1,base-OFF,1150 K / phi=1.3,held-out condition,0.20708340921738974,0.03562486501381645,0.22613435857334233,2804.9521484375,1654.9521484375,0.22895246605017844,0.5071582487274167,0.15587660638415363,0.31074696669962426,0.4094733056673068,0.1841111931037482,0.20724404653987583,0.03155288553601922,9.350845175807968e-05
norm-matched dir1,base-ON,1050 K / phi=0.9,training condition,0.2959466947041777,0.14002864950463279,0.31327092194857165,2556.883544921875,1506.883544921875,0.08825574473978043,0.15812420997588983,0.5925390844577334,0.2158371917453339,0.4501263120200336,0.273346571497734,0.9185618626141645,0.12094474580504534,0.0017025746814297157
norm-matched dir1,base-ON,1150 K / phi=1.3,held-out condition,0.20879464081363355,0.08810573204323126,0.22220451956590045,2754.465087890625,1604.465087890625,0.10882803465461133,0.15757744869571344,0.2757419296984152,0.25367532044290503,0.5011051498762236,0.19726296126294163,0.39029057817396917,0.11295174675350089,0.0024075065348236773
