epoch,total_loss,mse_loss,batch_loss_running_mean,optimizer_step,elapsed_seconds
89,1.1883777379989624,1.1883777379989624,1.0179730385541916,1800,77.6353
90,0.9321619868278503,0.9321619868278503,1.1747791364789009,1820,78.4463
91,1.1828484535217285,1.1828484535217285,1.2303369238972663,1840,79.2955
92,0.9821279644966125,0.9821279644966125,0.9736126840114594,1860,80.0746
93,0.8723974227905273,0.8723974227905273,0.976663576066494,1880,80.8932
94,1.0710382461547852,1.0710382461547852,1.1785612493753432,1900,81.8218
95,1.3959550857543945,1.3959550857543945,0.8782877922058105,1920,82.8715
96,1.038334846496582,1.038334846496582,0.8199177384376526,1940,83.6931
97,0.8596780896186829,0.8596780896186829,0.9029108226299286,1960,84.5302
98,0.7967749834060669,0.7967749834060669,0.896888329833746,1980,85.4755
99,0.8486224412918091,0.8486224412918091,0.9086972877383233,2000,86.4484
