epoch,total_loss,mse_loss,batch_loss_running_mean,optimizer_step,elapsed_seconds
0,1276.571044921875,1276.571044921875,356.31918716430664,20,0.9621
1,103.99494934082031,103.99494934082031,56.344330596923825,40,1.8221
2,20.982202529907227,20.982202529907227,14.16926658153534,60,2.6707
3,8.77357292175293,8.77357292175293,6.689835500717163,80,3.4863
4,5.48433780670166,5.48433780670166,5.558335053920746,100,4.3332
5,4.7773919105529785,4.7773919105529785,5.232971757650375,120,5.2975
6,4.65592098236084,4.65592098236084,5.334003543853759,140,6.3611
7,4.48273229598999,4.48273229598999,4.485209709405899,160,7.2331
8,4.182236671447754,4.182236671447754,4.343387398123741,180,8.0897
9,4.032670021057129,4.032670021057129,4.287954097986221,200,8.9372
10,3.879110813140869,3.879110813140869,4.382223463058471,220,9.7743
11,3.812669038772583,3.812669038772583,3.889161843061447,240,10.6849
12,3.6346049308776855,3.6346049308776855,3.6741134405136107,260,11.4993
13,3.443467378616333,3.443467378616333,3.8473595827817917,280,12.3043
14,3.4549756050109863,3.4549756050109863,3.5468649595975874,300,13.088
15,3.229233980178833,3.229233980178833,3.7272344052791597,320,13.8808
16,3.2619481086730957,3.2619481086730957,3.5552878946065904,340,14.6883
17,3.181032180786133,3.181032180786133,3.2747226864099503,360,15.6798
18,3.0791409015655518,3.0791409015655518,3.056867998838425,380,16.5548
19,2.9515748023986816,2.9515748023986816,3.2347664654254915,400,17.4451
20,3.246558427810669,3.246558427810669,3.3628560662269593,420,18.2555
21,3.0112171173095703,3.0112171173095703,3.106185680627823,440,19.0693
22,2.7499618530273438,2.7499618530273438,2.869918242096901,460,19.8383
23,2.7072699069976807,2.7072699069976807,2.8603752359747885,480,20.6152
24,2.5929806232452393,2.5929806232452393,2.766572451591492,500,21.4028
25,2.599170207977295,2.599170207977295,2.763641744852066,520,22.1807
26,2.442838430404663,2.442838430404663,2.4775261282920837,540,22.9511
27,2.4499306678771973,2.4499306678771973,2.6357215493917465,560,23.7457
28,2.4041056632995605,2.4041056632995605,2.4303006917238235,580,24.5956
29,2.3003907203674316,2.3003907203674316,2.3979784071445467,600,25.5075
30,2.7721667289733887,2.7721667289733887,2.7471373975276947,620,26.3287
31,2.426969051361084,2.426969051361084,2.6203367829322817,640,27.1547
32,2.4614758491516113,2.4614758491516113,2.622606870532036,660,27.9971
33,2.820343494415283,2.820343494415283,2.353158211708069,680,29.0157
34,2.309615135192871,2.309615135192871,2.18593091070652,700,29.9613
35,1.9714033603668213,1.9714033603668213,2.154525363445282,720,30.774
36,2.0110397338867188,2.0110397338867188,2.205643904209137,740,31.6059
37,1.8977655172348022,1.8977655172348022,2.21866252720356,760,32.3776
38,2.1671202182769775,2.1671202182769775,2.2706906259059907,780,33.1672
39,2.859070301055908,2.859070301055908,2.341933196783066,800,34.0185
40,1.8017253875732422,1.8017253875732422,1.9959602683782578,820,34.7983
41,2.1721222400665283,2.1721222400665283,1.9396835625171662,840,35.5504
