index,T0_K,phi,trajectory_mse,status,is_training,is_held_out,is_additional
0,950.0,0.5,0.03605667129158974,ok,True,False,False
1,950.0,0.55,0.037508778274059296,ok,False,False,True
2,950.0,0.6,0.03945315629243851,ok,False,False,True
3,950.0,0.65,0.041780196130275726,ok,False,False,True
4,950.0,0.7,0.04437105357646942,ok,True,False,False
5,950.0,0.75,0.047159310430288315,ok,False,False,True
6,950.0,0.8,0.050090156495571136,ok,False,False,True
7,950.0,0.8500000000000001,0.053076568990945816,ok,False,False,True
8,950.0,0.9,0.055994536727666855,ok,True,False,False
9,950.0,0.95,0.058707062155008316,ok,False,False,True
10,950.0,1.0,0.061101365834474564,ok,False,False,True
11,950.0,1.05,0.06312131881713867,ok,False,False,True
12,950.0,1.1,0.06477831304073334,ok,True,False,False
13,950.0,1.15,0.06612581014633179,ok,False,False,True
14,950.0,1.2000000000000002,0.0672275722026825,ok,False,False,True
15,950.0,1.25,0.06811858713626862,ok,False,False,True
16,950.0,1.3,0.0688043013215065,ok,True,False,False
17,950.0,1.35,0.06928499042987823,ok,False,False,True
18,950.0,1.4,0.06959246844053268,ok,False,False,True
19,950.0,1.4500000000000002,0.06986075639724731,ok,False,False,True
20,950.0,1.5,0.07037549465894699,ok,True,False,False
21,962.5,0.5,0.03197167441248894,ok,False,False,True
22,962.5,0.55,0.03769360110163689,ok,False,False,True
23,962.5,0.6,0.04354426637291908,ok,False,False,True
24,962.5,0.65,0.048082105815410614,ok,False,False,True
25,962.5,0.7,0.050842419266700745,ok,False,False,True
26,962.5,0.75,0.052299655973911285,ok,False,False,True
27,962.5,0.8,0.053276821970939636,ok,False,False,True
28,962.5,0.8500000000000001,0.05439019948244095,ok,False,False,True
29,962.5,0.9,0.055915139615535736,ok,False,False,True
30,962.5,0.95,0.057838208973407745,ok,False,False,True
31,962.5,1.0,0.06001322343945503,ok,False,False,True
32,962.5,1.05,0.062248971313238144,ok,False,False,True
33,962.5,1.1,0.06439335644245148,ok,False,False,True
34,962.5,1.15,0.06634438037872314,ok,False,False,True
