interpretation,architecture,n_params,stage1_final_loss,stage1_min_loss,stage1_wall_hours,stage1_median_nfe,stage1_sha256,open_loop_species_mse_1050_0.9
base-OFF (N=5),"{""hidden_dim"": 3, ""num_basis"": 5, ""n_mu"": 3, ""use_base_act"": false}",344,0.3282943069934845,0.3282943069934845,0.9016666666666666,,73347c44a5ff,0.006252574493049554
base-ON (N=4),"{""hidden_dim"": 3, ""num_basis"": 4, ""n_mu"": 3, ""use_base_act"": true}",344,0.31487777829170227,0.3148777782917022,1.4269444444444443,716.0,6b25dfcf4930,0.006559716547965237
