arm,key_500,key_10k,initial_thermo_norm,loss_at_500,loss_at_10k,final_thermo_norm_500,final_thermo_norm_10k,train_MSE_500,train_MSE_10k,test_MSE_500,test_MSE_10k,train_peak_T_500,train_peak_T_10k,train_delay_500_ms,train_delay_10k_ms,held_peak_T_500,held_peak_T_10k,held_delay_500_ms,held_delay_10k_ms
"scaled-random x1e5, dir 0",x1e5_dir0,x1e5_dir0_10k,48482.71,4.997368,3.747347,48484.42,48511.25,4.991178512573242,3.7567434310913086,8.121742248535156,6.597650527954102,2137.40869140625,2229.60693359375,0.0,0.159997999899995,2188.716064453125,2324.720947265625,0.17817890894544725,0.08127406370318516
"norm-matched random, dir 0",nm_dir0,nm_dir0_10k,171227.4,5.061749,3.042592,171227.5,171231.8,5.061301231384277,3.110799789428711,7.683845520019531,5.399553298950195,2596.38037109375,2428.815673828125,0.008940447022351116,0.16431821591079554,2710.489501953125,2619.793212890625,0.004380219010950547,0.0825641282064103
"norm-matched random, dir 1",nm_dir1,nm_dir1_10k,171227.5,0.3978589,0.2698263,171227.4,171227.5,0.3982950747013092,0.26972633600234985,0.2937433421611786,0.20708340406417847,2601.098388671875,2606.85302734375,0.15729786489324465,0.15729786489324465,2915.63671875,2804.9521484375,0.08514425721286063,0.07185359267963397
"norm-matched random, dir 2",nm_dir2,nm_dir2_10k,171227.4,4.441719,2.267353,171227.4,171228.4,4.428412437438965,2.257612466812134,7.26892614364624,3.9028797149658203,2932.43212890625,2853.009765625,0.09744487224361217,0.15105755287764389,3286.829833984375,3104.222900390625,0.04791239561978099,0.06858342917145856
Cantera physical direction,cantera500,cantera10k,171227.4,0.3877453,0.2366149,171227.4,171227.0,0.38758936524391174,0.2368447482585907,0.4093235731124878,0.23808391392230988,2755.79248046875,2714.094482421875,0.152317615880794,0.13818690934546723,3051.164794921875,3029.133056640625,0.07314365718285913,0.051602580129006446
default random (control),random10k,random10k,0.4848271,3.010387,2.127238,1.514367,43.97495,2.1227407455444336,2.1227407455444336,3.1555752754211426,3.1555752754211426,1058.0076904296875,1058.0076904296875,,,1159.5980224609375,1159.5980224609375,,
