arm,category,stage2_epochs,thermo_init_type,thermo_direction_seed,initial_thermo_norm,final_thermo_norm,relative_thermo_displacement,cos_final_initial,cos_final_cantera,final_stage2_loss,train_trajectory_MSE,test_trajectory_MSE,operational_ignition_history,train_peak_T_K,train_peak_error_K,train_ignition_delay_dense_s,train_delay_error_dense_pct,held_peak_T_K,held_peak_error_K,held_ignition_delay_dense_s,held_delay_error_dense_pct,gate_training,gate_held_out,gate_both
random10k,DIAGNOSTIC control (default init),10000,random,,0.4848266341791655,43.97494258739761,90.77979888251073,-0.07191259478592558,-0.33596913082770363,2.127238,2.1227407455444336,3.1555752754211426,never_ignites,1058.0076904296875,-1611.7100442263659,,,1159.5980224609375,-1601.986296305125,,,False,False,False
cantera10k,DIAGNOSTIC treatment (physical direction),10000,cantera,,171227.54970142292,171227.1273876449,0.00015768407687792935,0.9999999875708767,0.9999999875684282,0.2366149,0.2368447482585907,0.23808391392230988,ignites_initially_and_persists,2714.094482421875,44.37674776582162,0.00013818690934546725,-2.621564482029616,3029.133056640625,267.54873787456245,5.160258012900644e-05,-18.250950570342212,True,False,False
x1e5_dir0_10k,"DIAGNOSTIC ablation (scale, dir 0)",10000,scaled-random,0.0,48482.663417916556,48511.23497056286,0.0010119274027702491,0.9999996618467301,-0.3129415079405847,3.747347,3.7567434310913086,6.597650527954102,ignition_emerges_and_persists,2229.60693359375,-440.1108010623034,0.000159997999899995,12.748414376321346,2324.720947265625,-436.86337150043755,8.127406370318515e-05,28.754752851711018,False,False,False
nm_dir0_10k,DIAGNOSTIC ablation (direction 0),10000,scaled-random,0.0,171227.59801732984,171231.9277704316,0.0002016257348628826,0.9999999799937419,-0.31288260275501895,3.042592,3.110799789428711,5.399553298950195,ignition_emerges_and_persists,2428.815673828125,-240.90206082792838,0.00016431821591079553,15.79281183932346,2619.793212890625,-141.79110587543755,8.256412820641031e-05,30.79847908745246,False,False,False
nm_dir1_10k,DIAGNOSTIC ablation (direction 1),10000,scaled-random,1.0,171227.52237017857,171227.5307826402,1.0115493021213257e-06,0.9999999999994896,0.3169043694303736,0.2698263,0.26972633600234985,0.20708340406417847,intermittent,2606.85302734375,-62.86470731230338,0.00015729786489324465,10.845665961945024,2804.9521484375,43.36782967143745,7.185359267963397e-05,13.830798479087443,True,True,True
nm_dir2_10k,DIAGNOSTIC ablation (direction 2),10000,scaled-random,2.0,171227.42305028977,171228.43276262298,7.365592950375004e-05,0.9999999973048046,0.18894981681587467,2.267353,2.257612466812134,3.9028797149658203,intermittent,2853.009765625,183.29203096894662,0.00015105755287764388,6.448202959830867,3104.222900390625,342.63858162456245,6.858342917145856e-05,8.650190114068428,False,False,False
