epoch,total_loss,full_rollout_train_mse,full_rollout_test_mse_clean,eval_seconds,elapsed_seconds
0,3.7179932594299316,1109.0960693359375,1120.681396484375,0.0494,0.8242
1,3.311054229736328,,,,1.5088
2,2.9359819889068604,,,,2.0447
3,2.5937087535858154,,,,2.5765
4,2.2842371463775635,,,,3.166
5,2.0073933601379395,,,,3.8637
6,1.7628027200698853,,,,4.5273
7,1.5493535995483398,,,,5.1859
8,1.364900827407837,,,,5.7296
9,1.2061924934387207,,,,6.3813
10,1.069061517715454,,,,6.9582
11,0.948910117149353,,,,7.5489
12,0.8413580656051636,,,,8.0887
13,0.7428098320960999,,,,8.634
14,0.6507688760757446,,,,9.2944
15,0.5638845562934875,,,,9.8677
16,0.4817984700202942,,,,10.4838
17,0.40488526225090027,,,,11.0643
18,0.3339621424674988,,,,11.5999
19,0.2700204849243164,,,,12.1944
20,0.2140028178691864,,,,12.7467
21,0.16663207113742828,,,,13.2979
22,0.12829220294952393,,,,13.7782
23,0.09895899891853333,,,,14.2939
24,0.07818017899990082,,,,14.7965
25,0.0651048868894577,,,,15.3367
26,0.058557089418172836,,,,15.8267
27,0.05714334174990654,,,,16.3212
28,0.0593804270029068,,,,16.836
29,0.06382377445697784,,,,17.4244
30,0.06918014585971832,,,,18.0069
31,0.07438892871141434,,,,18.6057
32,0.0786646232008934,,,,19.0899
33,0.08150015026330948,,,,19.5645
34,0.08263879269361496,,,,20.0887
35,0.08202730119228363,,,,20.5982
36,0.07976195961236954,,,,21.2037
37,0.07603810727596283,,,,21.7041
38,0.07111028581857681,,,,22.1943
39,0.06526388972997665,,,,22.7199
40,0.05879848822951317,,,,23.1924
41,0.05201783403754234,,,,23.6628
42,0.04522275552153587,,,,24.111
43,0.03870156407356262,,,,24.5935
44,0.0327172726392746,,,,25.1004
45,0.027491791173815727,,,,25.5664
46,0.02318967692553997,,,,26.0375
47,0.019904935732483864,,,,26.4942
48,0.01765390858054161,,,,26.9671
49,0.016376689076423645,,,,27.4352
50,0.015947094187140465,,,,27.9286
51,0.016189871355891228,,,,28.3978
52,0.016902968287467957,,,,28.8731
53,0.017880987375974655,,,,29.3362
54,0.01893657259643078,,,,29.8099
55,0.019916892051696777,,,,30.3084
56,0.020713211968541145,,,,30.8213
57,0.021263400092720985,,,,31.2859
58,0.021547937765717506,,,,31.7593
59,0.021581338718533516,,,,32.2375
60,0.02140120230615139,,,,32.723
61,0.021056918427348137,,,,33.2413
62,0.020600125193595886,,,,33.7588
63,0.020077688619494438,,,,34.2377
64,0.019528036937117577,,,,34.7239
65,0.01898004487156868,,,,35.1937
66,0.01845424249768257,,,,35.6566
67,0.01796475611627102,,,,36.1884
68,0.01752144657075405,,,,36.6684
69,0.01713157258927822,,,,37.1294
70,0.01680043712258339,,,,37.5921
71,0.016531260684132576,,,,38.084
72,0.01632477156817913,,,,38.5768
73,0.016178565099835396,,,,39.0582
74,0.016086911782622337,,,,39.5083
75,0.016041159629821777,,,,39.9591
76,0.01603063941001892,,,,40.4469
77,0.016043853014707565,,,,41.1446
78,0.016069920733571053,,,,41.8034
79,0.01609944738447666,,,,42.3472
80,0.016125448048114777,,,,42.8784
81,0.01614321954548359,,,,43.3659
82,0.016150275245308876,,,,43.8705
83,0.016145670786499977,,,,44.3953
84,0.0161295123398304,,,,44.9148
85,0.01610247977077961,,,,45.4041
86,0.016065625473856926,,,,45.8804
87,0.016020262613892555,,,,46.3809
88,0.01596822403371334,,,,46.8749
89,0.015911798924207687,,,,47.3999
90,0.015853848308324814,,,,47.9269
91,0.01579751819372177,,,,48.4151
92,0.015746042132377625,,,,48.8827
93,0.015702182427048683,,,,49.3547
94,0.0156678706407547,,,,49.8607
95,0.015643876045942307,,,,50.4077
96,0.015629788860678673,,,,50.9165
97,0.015624073334038258,,,,51.4174
98,0.015624395571649075,,,,51.906
99,0.015628129243850708,,,,52.4563
100,0.015632670372724533,1.3554911613464355,1.5470653772354126,0.0426,53.0874
101,0.015635905787348747,,,,53.5974
102,0.015636412426829338,,,,54.0909
103,0.015633409842848778,,,,54.5926
104,0.01562689244747162,,,,55.0762
105,0.015617260709404945,,,,55.6005
106,0.015605219639837742,,,,56.1024
107,0.015591582283377647,,,,56.5872
108,0.015577088110148907,,,,57.0875
109,0.01556236669421196,,,,57.6652
110,0.015547888353466988,,,,58.1581
111,0.015534015372395515,,,,58.6562
112,0.015520974062383175,,,,59.1423
113,0.015508907847106457,,,,59.6389
114,0.015497907064855099,,,,60.1758
115,0.01548798568546772,,,,60.6937
116,0.01547902263700962,,,,61.2327
117,0.015470911748707294,,,,61.7332
118,0.015463411808013916,,,,62.2458
119,0.015456309542059898,,,,62.845
120,0.015449408441781998,,,,63.3901
121,0.01544252224266529,,,,63.91
122,0.015435473993420601,,,,64.4053
123,0.015428249724209309,,,,64.9602
124,0.015420802868902683,,,,65.4658
125,0.01541314646601677,,,,66.0215
126,0.015405278652906418,,,,66.5222
127,0.015397261828184128,,,,67.0233
128,0.015389082953333855,,,,67.519
129,0.01538077648729086,,,,68.1407
130,0.015372373163700104,,,,68.7738
131,0.015363919548690319,,,,69.4831
132,0.015355430543422699,,,,70.177
133,0.015347011387348175,,,,70.7708
134,0.015338677912950516,,,,71.3366
135,0.015330466441810131,,,,72.0013
136,0.015322421677410603,,,,72.5891
137,0.015314511023461819,,,,73.1771
138,0.015306735411286354,,,,73.8157
139,0.015299000777304173,,,,74.6491
140,0.015291336923837662,,,,75.288
141,0.015283611603081226,,,,76.0028
142,0.015275822952389717,,,,76.7226
143,0.01526799239218235,,,,77.384
144,0.015260066837072372,,,,78.1333
145,0.015252061188220978,,,,78.8159
146,0.015243999660015106,,,,79.4712
147,0.015235907398164272,,,,80.0914
148,0.01522777695208788,,,,80.7886
149,0.01521963533014059,,,,81.3838
150,0.015211507678031921,,,,81.9543
151,0.015203377231955528,,,,82.4989
152,0.015195261687040329,,,,83.0816
153,0.01518714427947998,,,,83.6968
154,0.015179059468209743,,,,84.4066
155,0.015170981176197529,,,,85.0055
156,0.015162897296249866,,,,85.6224
157,0.015154813416302204,,,,86.2094
158,0.015146720223128796,,,,86.7352
159,0.015138606540858746,,,,87.2536
160,0.015130488201975822,,,,87.7784
161,0.015122340992093086,,,,88.3375
162,0.015114180743694305,,,,88.8832
163,0.015106006525456905,,,,89.4878
164,0.015097804367542267,,,,90.0476
165,0.015089583583176136,,,,90.5954
166,0.015081358142197132,,,,91.1507
167,0.015073110349476337,,,,91.6662
168,0.015064842998981476,,,,92.2435
169,0.015056571923196316,,,,92.7829
170,0.015048270113766193,,,,93.3323
171,0.015039983205497265,,,,93.8547
172,0.015031646937131882,,,,94.4173
173,0.015023341402411461,,,,95.0398
174,0.015014992095530033,,,,95.5908
175,0.015006653033196926,,,,96.1467
176,0.014998297207057476,,,,96.7
177,0.014989924617111683,,,,97.22
178,0.014981537126004696,,,,97.7588
