model,condition,role,checkpoint,case_Eq18_MSE,T_MSE,H2_MSE,H_MSE,O_MSE,O2_MSE,OH_MSE,H2O_MSE,HO2_MSE,H2O2_MSE,N2_MSE
"H0 (primary, random init)",1050/0.9,training,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_final.pt,2.8665992989508498,25.494375213852315,0.18836050385808778,0.19213974312694548,0.42856628673531505,0.2831072641229633,0.23232459483863352,0.27571773547462736,1.2983851017172343,0.2683122103346829,0.004704335447688906
"H0 (primary, random init)",1150/1.3,held-out,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_final.pt,3.146121980132455,29.78716842983664,0.08815080052806061,0.2155336436644792,0.1717684983783132,0.11448796815296854,0.3753561961769099,0.1568041049292111,0.44698824669349263,0.09500756053446524,0.009954352430010076
Hnorm1 (labelled init comparison),1050/0.9,training,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_final.pt,0.2959466947041777,0.14002864950463279,0.08825574473978043,0.15812420997588983,0.5925390844577334,0.2158371917453339,0.4501263120200336,0.273346571497734,0.9185618626141645,0.12094474580504534,0.0017025746814297157
Hnorm1 (labelled init comparison),1150/1.3,held-out,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_final.pt,0.20879464081363355,0.08810573204323126,0.10882803465461133,0.15757744869571344,0.2757419296984152,0.25367532044290503,0.5011051498762236,0.19726296126294163,0.39029057817396917,0.11295174675350089,0.0024075065348236773
