condition,role,H2_progress_%,O2_progress_%,H2O_progress_%,OH_progress_%,T_rise_ref_K,T_rise_model_K,T_rise_pct
1050/0.9,training,97.8,94.5,95.4,101.0,1619.7,8.0,0.5
1150/1.3,held-out,99.7,103.2,101.3,112.3,1611.6,9.6,0.6
