model,metric,slope,intercept,r_squared,std_error,n_included,included,excluded,mask_rule
ChemKAN,train_loss,-0.40642196422600774,-0.11119640956947557,0.18573666008862122,0.4913038510220079,5,"78,117,156,390,663",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
ChemKAN,test_loss,-0.3789616461841393,-0.01579901821559825,0.1809587147908086,0.4654765172154116,5,"78,117,156,390,663",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
ChemKAN,train_loss_late_median,-0.4312144813627703,-0.02615005314491259,0.18680325458314861,0.5194434885220474,5,"78,117,156,390,663",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
DeepONet,train_loss,-2.0818782405379284,4.079920720865797,0.6824242188642176,0.7101037435951408,6,"85,169,220,340,484,745",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
DeepONet,test_loss,-1.3175879366144922,2.515215126028655,0.7611814200624997,0.3690112278886878,6,"85,169,220,340,484,745",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
DeepONet,train_loss_late_median,-2.0512088097615377,4.011976883267914,0.682813737392015,0.6990141018772386,6,"85,169,220,340,484,745",(none),"all measured points, with no post-hoc exclusions; descriptive regression; fitting scope differs from the paper's pre-saturation subset"
