T0_K,phi,reference_delay_s,chemkan_delay_s,absolute_error_s,relative_error,is_held_out,reference_peak_T_K,reference_temperature_rise_K,reference_peak_dTdt_K_per_s,chemkan_temperature_rise_K,chemkan_peak_dTdt_K_per_s,chemkan_peak_T_K,status
1000.0,0.5,0.00030399999999999996,0.000314,1.0000000000000026e-05,0.03289473684210535,False,2193.3584301868955,1193.3584301868955,44583924.274456024,1201.523681640625,26506530.0,2201.523681640625,evaluated
1000.0,0.7,0.0003,0.00029499999999999996,-5.000000000000013e-06,-0.01666666666666671,False,2476.1120629849256,1476.1120629849256,59783238.644476175,1356.910888671875,27638122.0,2356.910888671875,evaluated
1000.0,0.9,0.000307,0.00032199999999999997,1.4999999999999985e-05,0.04885993485342015,False,2633.0771755398537,1633.0771755398537,69311937.49893475,1516.895263671875,24175232.0,2516.895263671875,evaluated
1000.0,1.1,0.000318,0.000343,2.500000000000001e-05,0.0786163522012579,False,2683.1889142101068,1683.1889142101068,74700970.78196096,1611.432861328125,23136108.0,2611.432861328125,evaluated
1000.0,1.3,0.000332,0.000345,1.299999999999999e-05,0.03915662650602407,False,2661.076805983211,1661.0768059832112,76446724.55260515,1642.7763671875,22275878.0,2642.7763671875,evaluated
1000.0,1.5,0.000348,0.000359,1.0999999999999996e-05,0.03160919540229884,False,2605.4418341824617,1605.4418341824617,74761211.82818568,1632.85595703125,20995240.0,2632.85595703125,evaluated
1050.0,0.5,0.000145,0.000166,2.0999999999999995e-05,0.1448275862068965,False,2246.8619340295268,1196.8619340295268,46612215.10880029,1176.27783203125,26773010.0,2226.27783203125,evaluated
1050.0,0.7,0.00014099999999999998,0.00016099999999999998,1.9999999999999998e-05,0.14184397163120568,False,2517.907190843793,1467.9071908437932,61750000.780551314,1338.97314453125,28225280.0,2388.97314453125,evaluated
1050.0,0.9,0.00014199999999999998,0.000174,3.200000000000002e-05,0.2253521126760565,False,2669.7177346560534,1619.7177346560534,71787186.98382449,1506.887939453125,25060730.0,2556.887939453125,evaluated
1050.0,1.1,0.000145,0.000188,4.299999999999999e-05,0.29655172413793096,False,2726.8841751079526,1676.8841751079526,76710948.49567664,1594.294677734375,23147216.0,2644.294677734375,evaluated
1050.0,1.3,0.000149,0.00019099999999999998,4.199999999999999e-05,0.28187919463087246,False,2718.113692111263,1668.113692111263,78733469.50296998,1619.068359375,22254272.0,2669.068359375,evaluated
1050.0,1.5,0.000154,0.000196,4.199999999999999e-05,0.27272727272727265,False,2677.579422864882,1627.579422864882,77489031.456774,1623.27734375,21068970.0,2673.27734375,evaluated
1100.0,0.5,9.099999999999999e-05,0.00010499999999999999,1.4000000000000001e-05,0.15384615384615388,False,2286.8913739063983,1186.8913739063983,48545219.050851464,1147.344970703125,27594970.0,2247.344970703125,evaluated
1100.0,0.7,8.8e-05,0.000108,1.9999999999999998e-05,0.22727272727272727,False,2546.074692361904,1446.074692361904,63733542.37879062,1346.06396484375,28654542.0,2446.06396484375,evaluated
1100.0,0.9,8.8e-05,0.00011899999999999999,3.0999999999999995e-05,0.35227272727272724,False,2690.45514805501,1590.4551480550099,73693792.46030962,1521.577880859375,25953858.0,2621.577880859375,evaluated
1100.0,1.1,8.9e-05,0.000128,3.9e-05,0.43820224719101125,False,2746.4882333295905,1646.4882333295905,78313906.68520606,1600.988037109375,23394654.0,2700.988037109375,evaluated
1100.0,1.3,9.099999999999999e-05,0.00013099999999999999,3.9999999999999996e-05,0.43956043956043955,False,2741.4467762705717,1641.4467762705717,79949172.92218089,1603.470947265625,22207398.0,2703.470947265625,evaluated
1100.0,1.5,9.4e-05,0.00013099999999999999,3.699999999999999e-05,0.3936170212765957,False,2706.0257541277147,1606.0257541277147,80744017.18394113,1597.9755859375,21119140.0,2697.9755859375,evaluated
1150.0,0.5,6.4e-05,7.599999999999999e-05,1.1999999999999994e-05,0.18749999999999992,False,2324.5333570650073,1174.5333570650073,50105138.103387356,1133.943359375,28311036.0,2283.943359375,evaluated
1150.0,0.7,6.2e-05,8.2e-05,1.9999999999999998e-05,0.32258064516129026,False,2572.5634426535225,1422.5634426535225,64431888.18011892,1359.946044921875,28735352.0,2509.946044921875,evaluated
1150.0,0.9,6.1e-05,9.2e-05,3.1e-05,0.5081967213114754,False,2709.872325272937,1559.872325272937,74972887.29188454,1538.01171875,26586914.0,2688.01171875,evaluated
1150.0,1.1,6.2e-05,9.999999999999999e-05,3.799999999999999e-05,0.6129032258064514,False,2764.1648619189064,1614.1648619189064,80633709.46327186,1618.14990234375,23932618.0,2768.14990234375,evaluated
1150.0,1.3,6.3e-05,0.000102,3.9e-05,0.6190476190476191,True,2761.5843187660626,1611.5843187660626,82784425.04504251,1604.466552734375,22192382.0,2754.466552734375,evaluated
1150.0,1.5,6.5e-05,0.000101,3.600000000000001e-05,0.553846153846154,False,2729.8971231142636,1579.8971231142636,82130983.18651938,1577.080810546875,21125854.0,2727.080810546875,evaluated
1200.0,0.5,4.8e-05,5.9999999999999995e-05,1.1999999999999994e-05,0.24999999999999986,False,2360.746719787223,1160.746719787223,50368210.84495795,1135.1962890625,28777894.0,2335.1962890625,evaluated
1200.0,0.7,4.6e-05,6.8e-05,2.2e-05,0.4782608695652174,False,2598.0144560494623,1398.0144560494623,65396191.58828211,1369.173828125,28669190.0,2569.173828125,evaluated
1200.0,0.9,4.4999999999999996e-05,7.7e-05,3.2000000000000005e-05,0.7111111111111112,False,2728.624877271248,1528.624877271248,75739131.89812231,1547.484130859375,26869018.0,2747.484130859375,evaluated
1200.0,1.1,4.6e-05,8.4e-05,3.7999999999999995e-05,0.826086956521739,False,2781.0695406198506,1581.0695406198506,80673996.06191158,1632.50244140625,24521606.0,2832.50244140625,evaluated
1200.0,1.3,4.6e-05,8.7e-05,4.1e-05,0.8913043478260869,False,2780.3918401061073,1580.3918401061073,82430005.04600906,1614.976318359375,22249756.0,2814.976318359375,evaluated
1200.0,1.5,4.8e-05,8.599999999999999e-05,3.799999999999999e-05,0.7916666666666664,False,2751.8223201583687,1551.8223201583687,82268556.34631193,1565.7587890625,21014404.0,2765.7587890625,evaluated
