epoch,total_loss,state_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,5.616135120391846,5.616108417510986,2.6702880859375e-05,2.0574,2.057427,1700
1,4.847845077514648,4.847820281982422,2.47955322265625e-05,4.3856,2.328152,1718
2,4.451725959777832,4.451699733734131,2.6226043701171875e-05,6.6335,2.247875,1646
3,4.467949867248535,4.467924118041992,2.574920654296875e-05,8.3563,1.722836,1556
4,4.302164077758789,4.302138805389404,2.5272369384765625e-05,10.0941,1.737768,1556
5,3.814626932144165,3.814600944519043,2.5987625122070312e-05,12.1013,2.007198,1466
6,4.725779056549072,4.725750923156738,2.8133392333984375e-05,13.6688,1.567566,1448
7,5.696352958679199,5.696325778961182,2.7179718017578125e-05,15.5856,1.91681,1772
8,4.5420756340026855,4.54204797744751,2.765655517578125e-05,17.1057,1.520109,1406
9,3.4482975006103516,3.4482717514038086,2.574920654296875e-05,18.6568,1.551048,1454
10,3.604412078857422,3.6043875217437744,2.4557113647460938e-05,20.754,2.097194,1616
11,4.250851631164551,4.250826835632324,2.47955322265625e-05,22.2519,1.497928,1388
12,4.351791858673096,4.351767063140869,2.47955322265625e-05,23.7238,1.471841,1352
13,4.25570821762085,4.255683422088623,2.47955322265625e-05,25.1747,1.450932,1370
14,3.8177974224090576,3.8177733421325684,2.4080276489257812e-05,26.7679,1.593185,1514
15,3.2228753566741943,3.2228498458862305,2.5510787963867188e-05,28.2448,1.476948,1370
16,3.944660186767578,3.944634199142456,2.5987625122070312e-05,30.0158,1.771004,1664
17,4.22721004486084,4.227182388305664,2.765655517578125e-05,31.4937,1.477893,1358
18,4.579195499420166,4.57916784286499,2.765655517578125e-05,33.0115,1.517779,1436
19,4.513997554779053,4.513969421386719,2.8133392333984375e-05,34.5361,1.524618,1328
20,4.085221290588379,4.085193157196045,2.8133392333984375e-05,36.3444,1.808278,1328
21,3.6991593837738037,3.6991324424743652,2.6941299438476562e-05,37.9647,1.620332,1568
22,2.8458540439605713,2.845827341079712,2.6702880859375e-05,39.4256,1.4609,1364
23,3.0152041912078857,3.015178680419922,2.5510787963867188e-05,41.0846,1.658994,1538
24,3.380929708480835,3.380903720855713,2.5987625122070312e-05,42.6584,1.573764,1490
25,3.3286807537078857,3.3286545276641846,2.6226043701171875e-05,44.276,1.617576,1520
26,2.881316900253296,2.8812904357910156,2.6464462280273438e-05,45.9299,1.653966,1550
27,2.6814494132995605,2.6814217567443848,2.765655517578125e-05,47.4071,1.477133,1334
28,3.2427711486816406,3.2427432537078857,2.7894973754882812e-05,49.0028,1.595716,1460
29,3.5640196800231934,3.5639915466308594,2.8133392333984375e-05,50.7542,1.751436,1574
30,3.331005096435547,3.330977201461792,2.7894973754882812e-05,52.4521,1.697868,1544
31,2.679853677749634,2.679825782775879,2.7894973754882812e-05,54.0706,1.618493,1442
32,2.6162683963775635,2.6162405014038086,2.7894973754882812e-05,55.5934,1.52284,1394
33,3.0327374935150146,3.0327095985412598,2.7894973754882812e-05,57.0515,1.45808,1358
34,3.2434234619140625,3.2433958053588867,2.765655517578125e-05,58.5935,1.542038,1442
35,3.089797258377075,3.0897696018218994,2.765655517578125e-05,60.3234,1.729875,1538
36,2.5766103267669678,2.576582908630371,2.7418136596679688e-05,62.0604,1.737016,1520
37,2.6015024185180664,2.6014740467071533,2.8371810913085938e-05,63.9421,1.881703,1508
38,2.9438719749450684,2.943842887878418,2.9087066650390625e-05,65.4425,1.500403,1352
