run,comparison,budget,checkpoint,train_mse,test_mse,train_dominant_state,train_dominant_share,train_T_share,train_negative_species_frac,train_T_min_K,train_T_max_K,thermo_norm,n_params,train_peak_T_K,train_ref_peak_T_K,train_peak_error_K,train_cools_below_T0,train_delay_dense_ms,train_ref_delay_dense_ms,train_delay_error_pct,train_gate,held_peak_T_K,held_ref_peak_T_K,held_peak_error_K,held_T_min_K,held_cools_below_T0,held_delay_dense_ms,held_ref_delay_dense_ms,held_delay_error_pct,held_gate,gate_both,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2,eq18_share_H2,eq18_share_H,eq18_share_O,eq18_share_O2,eq18_share_OH,eq18_share_H2O,eq18_share_HO2,eq18_share_H2O2,eq18_share_N2,eq18_share_T,stability_min_loss,stability_min_epoch,stability_final_loss,stability_final_over_min,stability_stable,epochs_logged,final_loss,min_loss,min_loss_epoch,training_seconds,median_seconds_per_epoch,wall_hours_run_log,median_nfe,total_nfe,ignition_conditions,reference_igniting,model_igniting,ignition_median_abs_relative_error,grid441_mse_min,grid441_mse_median,grid441_mse_max,grid441_failed,stage1_checkpoint_sha256,sensitivity
H0 (direct autograd),H0,500,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_stage2_epoch_500.pt,2.2827484607696533,3.2875332832336426,T,0.827437162399292,0.827437162399292,0.08996825396825398,1049.9986572265625,1200.3936767578125,2.26991868019104,344,1050.3277587890625,2669.7177346560534,-1619.3899758669909,False,,0.14190709535476773,,False,1150.38818359375,2761.5843187660626,-1611.1961351723126,1149.9989013671875,False,,0.06312315615780789,,False,False,-1.1391555070877075,0.845079779624939,0.804155170917511,-0.6797788739204407,1.038132905960083,0.8421712517738342,-0.1634325385093689,0.2112247794866562,-0.4166921079158783,0.007915548048913479,0.020277826115489006,0.021157244220376015,0.013952876441180706,0.01733360067009926,0.011464549228549004,0.05727260932326317,0.022846465930342674,0.0003421623259782791,0.827437162399292,,,,,,,,,,,,,,,,,,,,,,,,
H0 (direct autograd),H0,10000,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_final.pt,2.1393826007843018,3.1461219787597656,T,0.873001217842102,0.873001217842102,0.06374603174603174,1049.9979248046875,1210.0704345703125,45.57607650756836,344,1058.5059814453125,2669.7177346560534,-1611.2117532107409,False,,0.14190709535476773,,False,1159.916259765625,2761.5843187660626,-1601.6680590004376,1150.0,False,,0.06312315615780789,,False,False,-19.91136932373047,15.161224365234375,15.983264923095703,-19.514869689941406,19.375024795532227,19.526527404785156,1.6167670488357544,2.3565189838409424,7.050856113433838,0.005203999113291502,0.012004497461020947,0.013856441713869572,0.00837564468383789,0.011135517619550228,0.009006384760141373,0.046739187091588974,0.020418522879481316,0.0002586279297247529,0.873001217842102,2.129262208938598,9914.0,2.143056631088257,1.0064784985577397,True,10000.0,2.143056631088257,2.129262208938598,9914.0,31520.9925,3.156504,8.758055555555556,4205.0,40947536.0,36.0,30.0,0.0,,0.03197167441248894,2.6576223373413086,3.222625255584717,0.0,6b25dfcf49305ba85f7b29d5a3fd3c91871b8cbe15c2e8facc9357a850175837,direct_autograd
Hnorm1 (direct autograd),Hnorm1,500,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_stage2_epoch_500.pt,1.3905292749404907,1.3767613172531128,OH,0.18991442024707794,0.1805519014596939,0.16653968253968254,1050.0,2924.92919921875,171227.421875,344,2843.47119140625,2669.7177346560534,173.75345675019662,False,0.24907245362268113,0.14190709535476773,75.51797040169131,False,2854.82861328125,2761.5843187660626,93.24429451518745,1150.0,False,0.17781889094454723,0.06312315615780789,181.70152091254755,False,False,58370.59375,-50000.6640625,-21961.2578125,53171.43359375,-106648.890625,67937.828125,-23305.21875,57632.08203125,15748.4541015625,0.05724329873919487,0.06892316043376923,0.09399264305830002,0.12167225033044815,0.18991442024707794,0.10040364414453506,0.13928386569023132,0.04754875972867012,0.00046606865362264216,0.1805519014596939,,,,,,,,,,,,,,,,,,,,,,,,
Hnorm1 (direct autograd),Hnorm1,10000,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_final.pt,0.31010109186172485,0.20879463851451874,HO2,0.26695045828819275,0.03826061636209488,0.11022222222222222,1046.5445556640625,2832.50439453125,171227.40625,344,2556.883544921875,2669.7177346560534,-112.83418973417838,True,0.1745187259362968,0.14190709535476773,22.98097251585623,True,2754.465087890625,2761.5843187660626,-7.119230875437552,1150.0,False,0.10206510325516276,0.06312315615780789,61.69201520912547,False,False,58370.5859375,-50000.6640625,-21961.255859375,53171.4140625,-106648.890625,67937.828125,-23305.21875,57632.08203125,15748.447265625,0.03568944334983826,0.07396668940782547,0.14691464602947235,0.07389550656080246,0.1351970136165619,0.10722574591636658,0.26695045828819275,0.12006323784589767,0.0018365975702181458,0.03826061636209488,0.2976315319538116,8795.0,0.3354811668395996,1.1271694387934064,True,10000.0,0.3354811668395996,0.2976315319538116,8795.0,12183.7863,1.183875,3.385,1214.0,12200048.0,36.0,30.0,30.0,0.28921545938440163,0.012697511352598667,0.2535542845726013,3.6915664672851562,0.0,6b25dfcf49305ba85f7b29d5a3fd3c91871b8cbe15c2e8facc9357a850175837,direct_autograd
