epoch,total_loss,species_mse,pinn_loss,elapsed_seconds
0,8.033182144165039,8.033182144165039,7.93927767972491e-09,0.1399
1,8.032211303710938,8.032211303710938,6.148102027481173e-09,0.1556
2,8.031246185302734,8.031246185302734,8.099855897114594e-09,0.17
3,8.03003978729248,8.03003978729248,9.910008813562854e-09,0.184
4,8.02878189086914,8.02878189086914,1.1780435293928804e-08,0.1993
5,8.027511596679688,8.027511596679688,1.378291170084367e-08,0.214
6,8.026226043701172,8.026226043701172,1.6008625536301224e-08,0.2303
7,8.025066375732422,8.025066375732422,1.817643280332959e-08,0.2468
8,8.024033546447754,8.024033546447754,2.0311951232088177e-08,0.2632
9,8.023153305053711,8.023153305053711,2.2367059315797633e-08,0.2778
10,8.022374153137207,8.022374153137207,2.4930550068802404e-08,0.2921
11,8.021721839904785,8.021721839904785,2.786342179206258e-08,0.3062
12,8.021201133728027,8.021201133728027,3.0797256300729714e-08,0.3216
13,8.020804405212402,8.020804405212402,3.3753781991663345e-08,0.339
14,8.020532608032227,8.020532608032227,3.667482317837312e-08,0.3574
15,8.020380020141602,8.020380020141602,3.9493993853056963e-08,0.3736
16,8.020333290100098,8.020333290100098,4.217935511974247e-08,0.3888
17,8.020370483398438,8.020370483398438,4.460967417685424e-08,0.4079
18,8.02045726776123,8.02045726776123,4.668917696903918e-08,0.4255
19,8.02055549621582,8.02055549621582,4.839803224854222e-08,0.4458
20,8.0206298828125,8.0206298828125,4.961004052006501e-08,0.4645
21,8.020654678344727,8.020654678344727,5.029086480590195e-08,0.4809
22,8.020618438720703,8.020618438720703,5.046823048360238e-08,0.4969
23,8.020528793334961,8.020528793334961,5.0234746140631614e-08,0.5146
24,8.020400047302246,8.020400047302246,4.971555611632539e-08,0.5307
25,8.020256996154785,8.020256996154785,4.919634122302341e-08,0.5452
26,8.020120620727539,8.020120620727539,4.8749591030627926e-08,0.5596
27,8.020014762878418,8.020014762878418,4.822870991461059e-08,0.5743
28,8.019948959350586,8.019948959350586,4.7730015495517364e-08,0.5889
29,8.019922256469727,8.019922256469727,4.7354124177445556e-08,0.6032
30,8.019918441772461,8.019918441772461,4.723451851873506e-08,0.6169
31,8.019918441772461,8.019918441772461,4.748953230659936e-08,0.6314
32,8.019902229309082,8.019902229309082,4.818824805852273e-08,0.6456
33,8.01986026763916,8.01986026763916,4.9324839324071945e-08,0.6603
34,8.019790649414062,8.019790649414062,5.088482879500589e-08,0.6747
35,8.019699096679688,8.019699096679688,5.2818467821680315e-08,0.6896
36,8.019598007202148,8.019598007202148,5.505140165951161e-08,0.7068
37,8.019497871398926,8.019497871398926,5.753756582294045e-08,0.7245
38,8.019405364990234,8.019405364990234,6.020231779757523e-08,0.7422
39,8.01932430267334,8.01932430267334,6.29797227702511e-08,0.7603
40,8.019244194030762,8.019244194030762,6.579606548484662e-08,0.7828
41,8.01917552947998,8.01917552947998,6.862981649646827e-08,0.8057
42,8.019102096557617,8.019102096557617,7.139913549281118e-08,0.8265
43,8.01901912689209,8.01901912689209,7.405523660963809e-08,0.8474
44,8.018927574157715,8.018927574157715,7.660354128802283e-08,0.8657
45,8.018816947937012,8.018816947937012,7.909975607844899e-08,0.8836
46,8.018692970275879,8.018692970275879,8.158000497360263e-08,0.9016
47,8.018561363220215,8.018561363220215,8.406288287687858e-08,0.9207
48,8.018424034118652,8.018424034118652,8.654066618873912e-08,0.9389
49,8.018284797668457,8.018284797668457,8.90395099872876e-08,0.9562
