epoch,total_loss,state_mse,pinn_loss,elapsed_seconds
0,12.760868072509766,12.760849952697754,1.811981201171875e-05,0.4092
1,11.00314998626709,11.003131866455078,1.811981201171875e-05,0.8771
2,10.03293228149414,10.032913208007812,1.9073486328125e-05,1.3358
3,10.21173095703125,10.211711883544922,1.9073486328125e-05,1.8754
4,9.38379192352295,9.383770942687988,2.09808349609375e-05,2.329
5,9.216141700744629,9.216119766235352,2.193450927734375e-05,2.8884
6,9.196582794189453,9.196558952331543,2.384185791015625e-05,3.3307
7,8.981559753417969,8.981534957885742,2.47955322265625e-05,3.8112
8,9.121938705444336,9.121912956237793,2.574920654296875e-05,4.4303
9,8.902426719665527,8.902400016784668,2.6702880859375e-05,4.9209
10,8.846543312072754,8.846515655517578,2.765655517578125e-05,5.4841
11,9.007001876831055,9.006973266601562,2.86102294921875e-05,5.926
12,8.871580123901367,8.871550559997559,2.956390380859375e-05,6.4073
13,8.727032661437988,8.72700309753418,2.956390380859375e-05,6.8757
14,8.586583137512207,8.586552619934082,3.0517578125e-05,7.5279
15,8.450836181640625,8.4508056640625,3.0517578125e-05,8.0269
16,8.314736366271973,8.314705848693848,3.0517578125e-05,8.4865
17,7.962118625640869,7.962087631225586,3.0994415283203125e-05,9.1888
18,7.466726779937744,7.466695785522461,3.0994415283203125e-05,9.9529
19,7.4223713874816895,7.422339916229248,3.147125244140625e-05,10.6319
20,7.365554332733154,7.365522861480713,3.147125244140625e-05,11.3157
21,7.287519931793213,7.287487983703613,3.1948089599609375e-05,12.0281
22,7.6841044425964355,7.684072494506836,3.1948089599609375e-05,12.5698
23,7.6566548347473145,7.656622409820557,3.24249267578125e-05,13.1573
24,7.805857181549072,7.805824279785156,3.2901763916015625e-05,13.6199
25,7.732369422912598,7.732336521148682,3.2901763916015625e-05,14.0815
26,7.435908317565918,7.435875415802002,3.2901763916015625e-05,14.5678
27,6.827778339385986,6.827744483947754,3.3855438232421875e-05,15.2278
28,6.7687907218933105,6.768756866455078,3.3855438232421875e-05,15.8637
29,6.794367790222168,6.794333457946777,3.4332275390625e-05,16.397
30,7.563081741333008,7.563046932220459,3.4809112548828125e-05,17.1531
31,8.02137279510498,8.021337509155273,3.528594970703125e-05,17.9388
32,8.05734634399414,8.057310104370117,3.62396240234375e-05,18.6249
33,8.032597541809082,8.032561302185059,3.62396240234375e-05,19.2923
34,7.97074556350708,7.97070837020874,3.719329833984375e-05,19.9482
35,7.883089065551758,7.88305139541626,3.7670135498046875e-05,20.6075
36,7.781985282897949,7.781946659088135,3.8623809814453125e-05,21.2968
37,7.667832374572754,7.667793273925781,3.910064697265625e-05,21.9935
