epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,1276.6705322265625,1276.6705322265625,1329.562255859375,1329.2071533203125,0.2363
1,1099.4886474609375,1099.4886474609375,1150.1513671875,1149.8092041015625,0.2922
2,934.5313720703125,934.5313720703125,982.3648681640625,982.0372924804688,0.3612
3,780.9373168945312,780.9373168945312,825.33349609375,825.0224609375,0.422
4,639.1832275390625,639.1832275390625,679.6547241210938,679.3627319335938,0.4837
5,515.1485595703125,515.1485595703125,551.7286376953125,551.45556640625,0.5552
6,412.32830810546875,412.32830810546875,445.09991455078125,444.8441467285156,0.6129
7,322.63909912109375,322.63909912109375,351.4649353027344,351.22918701171875,0.6704
8,232.9205322265625,232.9205322265625,256.62005615234375,256.4185485839844,0.7345
9,159.2600555419922,159.2600555419922,176.82327270507812,176.66026306152344,0.7928
10,115.89955139160156,115.89955139160156,128.781494140625,128.6454315185547,0.8478
11,91.49806213378906,91.49806213378906,100.8769760131836,100.76133728027344,0.9018
12,76.8766098022461,76.8766098022461,83.87135314941406,83.77632904052734,0.968
13,69.86849212646484,69.86849212646484,71.79075622558594,71.7281723022461,1.0309
14,69.98519134521484,69.98519134521484,65.95733642578125,65.93711853027344,1.0961
15,74.65803527832031,74.65803527832031,69.787353515625,69.78639221191406,1.1555
16,81.4610595703125,81.4610595703125,75.66915893554688,75.68468475341797,1.2129
17,88.11251068115234,88.11251068115234,81.18386840820312,81.21453857421875,1.2721
18,93.3627700805664,93.3627700805664,85.51726531982422,85.56160736083984,1.3328
19,96.78412628173828,96.78412628173828,88.25431060791016,88.31072998046875,1.4
20,98.19927978515625,98.19927978515625,89.20591735839844,89.27272033691406,1.4587
21,97.55775451660156,97.55775451660156,88.31652069091797,88.39189147949219,1.5165
22,94.8672866821289,94.8672866821289,85.5963363647461,85.67826843261719,1.5784
23,90.15797424316406,90.15797424316406,81.07810974121094,81.16434478759766,1.6395
24,83.50117492675781,83.50117492675781,74.81776428222656,74.90568542480469,1.7053
25,75.11500549316406,75.11500549316406,66.97967529296875,67.06624603271484,1.7722
26,65.58027648925781,65.58027648925781,58.042449951171875,58.12443161010742,1.847
27,56.055572509765625,56.055572509765625,49.032737731933594,49.10749435424805,1.9276
28,47.930503845214844,47.930503845214844,41.36626052856445,41.43357467651367,2.0202
29,41.87659454345703,41.87659454345703,35.90458297729492,35.96678924560547,2.0892
30,37.63098907470703,37.63098907470703,32.3552131652832,32.4138298034668,2.156
31,34.547264099121094,34.547264099121094,29.9947452545166,30.049530029296875,2.2221
32,32.078392028808594,32.078392028808594,28.22455406188965,28.274450302124023,2.2867
33,29.906482696533203,29.906482696533203,26.64688491821289,26.690677642822266,2.3644
34,27.903995513916016,27.903995513916016,25.043886184692383,25.08029556274414,2.441
35,26.02327537536621,26.02327537536621,23.401275634765625,23.428394317626953,2.5129
36,24.281558990478516,24.281558990478516,21.9016170501709,21.916152954101562,2.5774
37,22.749256134033203,22.749256134033203,20.88107681274414,20.880407333374023,2.6437
38,21.518169403076172,21.518169403076172,20.49734115600586,20.4819393157959,2.7145
39,20.594715118408203,20.594715118408203,20.594249725341797,20.566635131835938,2.7776
