epoch,total_loss,mse_loss,rhs_calls,epoch_wall_time_s,elapsed_seconds
0,1276.5716055823375,1276.5716055823375,3954,13.387855052947998,20.99424695968628
1,1099.3859543388774,1099.3859543388774,3924,0.3046729564666748,21.470507860183716
2,934.4252913792504,934.4252913792504,3894,0.29021310806274414,21.760825872421265
3,780.8281148918205,780.8281148918205,3840,0.31862306594848633,22.07953381538391
4,639.0720231233533,639.0720231233533,3792,0.2733027935028076,22.352966785430908
5,515.036052631259,515.036052631259,3738,0.26314401626586914,22.61617684364319
6,412.2144680549962,412.2144680549962,3684,0.26419997215270996,22.880438804626465
7,322.5245728321218,322.5245728321218,3588,0.2533841133117676,23.133935928344727
8,232.80603679896294,232.80603679896294,3528,0.7849969863891602,23.919012784957886
9,159.1517152763097,159.1517152763097,3396,0.24970793724060059,24.168904781341553
10,115.79843482035002,115.79843482035002,3330,0.2293720245361328,24.398347854614258
11,91.4041444911961,91.4041444911961,3288,0.23912501335144043,24.63753890991211
12,76.79204265075899,76.79204265075899,3306,0.22964000701904297,24.867251873016357
13,69.79123038395826,69.79123038395826,3342,0.2336888313293457,25.101005792617798
14,69.91223377753411,69.91223377753411,3366,0.23324203491210938,25.334311962127686
15,74.58905252512712,74.58905252512712,3378,0.24265789985656738,25.577038764953613
16,81.3963827282027,81.3963827282027,3420,0.23739004135131836,25.814493894577026
17,88.05202755809061,88.05202755809061,3432,0.25188207626342773,26.06648087501526
18,93.30565704830175,93.30565704830175,3456,0.25936198234558105,26.325933933258057
19,96.72957717855705,96.72957717855705,3474,0.2501220703125,26.57612681388855
20,98.14663814148653,98.14663814148653,3474,0.24567699432373047,26.821913957595825
21,97.50663110270315,97.50663110270315,3492,0.7432620525360107,27.565252780914307
22,94.81764092391407,94.81764092391407,3462,0.35656213760375977,27.921926975250244
23,90.11007771229326,90.11007771229326,3444,0.2428138256072998,28.165591955184937
24,83.45544404068102,83.45544404068102,3420,0.2696380615234375,28.43530583381653
25,75.07171807391167,75.07171807391167,3414,0.28273487091064453,28.71811079978943
26,65.53874379218527,65.53874379218527,3384,0.257565975189209,28.975942850112915
27,56.01389930848249,56.01389930848249,3354,0.2596569061279297,29.235861778259277
28,47.88676919876791,47.88676919876791,3312,0.2672398090362549,29.503175973892212
29,41.830012000012246,41.830012000012246,3258,0.24981093406677246,29.753061771392822
30,37.58194854210039,37.58194854210039,3186,0.30609989166259766,30.059260845184326
31,34.49699821989231,34.49699821989231,3126,0.2655770778656006,30.325012922286987
32,32.02848205571525,32.02848205571525,3114,0.24322819709777832,30.568392992019653
33,29.858273820299765,29.858273820299765,3108,0.24494385719299316,30.81342577934265
34,27.858406807774468,27.858406807774468,3126,0.2589840888977051,31.072491884231567
35,25.980781480016525,25.980781480016525,3138,1.5321979522705078,32.60477089881897
36,24.2421648191624,24.2421648191624,3126,0.2634239196777344,32.868512868881226
37,22.712450337219295,22.712450337219295,3132,0.24803614616394043,33.11667990684509
38,21.483609426417424,21.483609426417424,3120,0.22133898735046387,33.338095903396606
39,20.562064687019525,20.562064687019525,3120,0.22286200523376465,33.56103587150574
40,19.845522770153245,19.845522770153245,3096,0.2243809700012207,33.78548288345337
41,19.18979640063729,19.18979640063729,3078,0.23404502868652344,34.019593954086304
42,18.48556460906421,18.48556460906421,3054,0.21679306030273438,34.23646283149719
43,17.687010234865575,17.687010234865575,3012,0.2169661521911621,34.4534969329834
44,16.816548576355224,16.816548576355224,2994,0.21273589134216309,34.66630697250366
45,15.938871459611565,15.938871459611565,2916,0.2067408561706543,34.873111963272095
46,15.12454108866134,15.12454108866134,2886,0.21193408966064453,35.085126876831055
47,14.426869231573729,14.426869231573729,2844,0.21079802513122559,35.29598879814148
48,13.868835466410866,13.868835466410866,2838,0.20833587646484375,35.50438976287842
49,13.439211656821573,13.439211656821573,2844,0.20733118057250977,35.71186590194702
