time_s,species,clean_reference,full_rollout
0.0,TG,1.94,1.940000057220459
0.0,ROH,1.43,1.4299999475479126
0.0,DG,0.0,0.0
0.0,MG,0.0,0.0
0.0,GL,0.0,0.0
0.0,RCO2R,0.0,0.0
0.05,TG,1.9346619883477725,1.9344935417175293
0.05,ROH,1.4246303870201544,1.4245426654815674
0.05,DG,0.005306469260266979,0.0055069392547011375
0.05,MG,3.1483456303775895e-05,0.00015955667186062783
0.05,GL,5.8935656983804544e-08,-0.00021603565255645663
0.05,RCO2R,0.005369612979845476,0.005454753525555134
0.1,TG,1.929358715334938,1.9290136098861694
0.1,ROH,1.4192331620722092,1.4190512895584106
0.1,DG,0.01051619787272012,0.01092577539384365
0.1,MG,0.000124620321956882,0.00037090040859766304
0.1,GL,4.664703854959612e-07,-0.0004215590888634324
0.1,RCO2R,0.010766837927790358,0.010947061702609062
0.15000000000000002,TG,1.9240900760530333,1.9235659837722778
0.15000000000000002,ROH,1.41380948715215,1.413519024848938
0.15000000000000002,DG,0.015630892623742603,0.016256405040621758
0.15000000000000002,MG,0.0002774737455667317,0.0006332779885269701
0.15000000000000002,GL,1.557577657889023e-06,-0.0006165202939882874
0.15000000000000002,RCO2R,0.016190512847849715,0.016475239768624306
0.2,TG,1.9188559618704477,1.918148398399353
0.2,ROH,1.4083605055627475,1.4079517126083374
0.2,DG,0.020652234538940717,0.021498844027519226
0.2,MG,0.0004881508735247166,0.00094586331397295
0.2,GL,3.6527170874182297e-06,-0.0008008760632947087
0.2,RCO2R,0.021639494437252393,0.02203754149377346
0.25,TG,1.913656260560805,1.9127626419067383
0.25,ROH,1.4028873419653676,1.4023476839065552
0.25,DG,0.025581879040187973,0.02665325067937374
0.25,MG,0.0007548022025784852,0.0013077622279524803
0.25,GL,7.05819642914843e-06,-0.0009745983988977969
0.25,RCO2R,0.027112658034632375,0.027632227167487144
0.30000000000000004,TG,1.908490856434106,1.9074078798294067
0.30000000000000004,ROH,1.397391102442215,1.3967121839523315
0.30000000000000004,DG,0.030421456118013484,0.03171990439295769
0.30000000000000004,MG,0.0010756209038714163,0.0017180151771754026
0.30000000000000004,GL,1.2066544009560413e-05,-0.001137669663876295
0.30000000000000004,RCO2R,0.03260889755778499,0.033257611095905304
0.35000000000000003,TG,1.903359630462756,1.9020850658416748
0.35000000000000003,ROH,1.3918728745676041,1.3910458087921143
0.35000000000000003,DG,0.03517257051184325,0.03669918701052666
0.35000000000000003,MG,0.0014488421556517724,0.002175617730244994
0.35000000000000003,GL,1.895686974984377e-05,-0.0012900688452646136
0.35000000000000003,RCO2R,0.03812712543239631,0.03891197219491005
0.4,TG,1.8982624604059426,1.8967938423156738
