model,seed,metric,epoch,loss_endpoint_sum,display_divisor,metric_convention,source_path
observed_interval,0,total_loss,34,0.1159234270453453,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,35,0.10378818213939667,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,36,0.09179755300283432,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,37,0.08050456643104553,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,38,0.0703989788889885,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,39,0.06186254322528839,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,40,0.055135805159807205,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,41,0.05030149221420288,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,42,0.04728703200817108,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,43,0.04588543623685837,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,44,0.04579085111618042,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,45,0.04664277285337448,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
observed_interval,0,total_loss,46,0.04807151108980179,1.0,sum over 29 restarted interval endpoints; mean over species and training trajectories; train-only min-max normalization,results/experiments/biodiesel_observed_intervals/seed0/history.csv
