epoch,total_loss,state_mse,pinn_loss,elapsed_seconds
0,8.943464279174805,8.943437576293945,2.6702880859375e-05,0.275
1,7.045913219451904,7.045891284942627,2.193450927734375e-05,0.4847
2,7.258263111114502,7.258242130279541,2.09808349609375e-05,0.7008
3,7.38144063949585,7.3814191818237305,2.1457672119140625e-05,0.8887
4,7.424007892608643,7.423985004425049,2.288818359375e-05,1.1212
5,7.3844990730285645,7.384475231170654,2.384185791015625e-05,1.3409
6,7.261908054351807,7.261882781982422,2.5272369384765625e-05,1.5139
7,7.071072101593018,7.071045875549316,2.6226043701171875e-05,1.6913
8,6.837103366851807,6.837076187133789,2.7179718017578125e-05,1.8683
9,6.585090637207031,6.5850629806518555,2.765655517578125e-05,2.0463
10,6.334285736083984,6.334257125854492,2.86102294921875e-05,2.2685
11,6.099336624145508,6.099307060241699,2.956390380859375e-05,2.4504
12,5.896925449371338,5.896894931793213,3.0517578125e-05,2.6295
13,5.752821445465088,5.7527899742126465,3.147125244140625e-05,2.8086
14,5.6989288330078125,5.698896884918213,3.1948089599609375e-05,2.9889
15,5.7385101318359375,5.73847770690918,3.24249267578125e-05,3.1671
16,5.790170192718506,5.790138244628906,3.1948089599609375e-05,3.3465
17,5.7568159103393555,5.756784915924072,3.0994415283203125e-05,3.5333
18,5.659151554107666,5.659121036529541,3.0517578125e-05,3.7156
19,5.5713067054748535,5.571277141571045,2.956390380859375e-05,3.901
20,5.524609565734863,5.524580478668213,2.9087066650390625e-05,4.1369
21,5.506847381591797,5.5068182945251465,2.9087066650390625e-05,4.327
22,5.492954254150391,5.492925643920898,2.86102294921875e-05,4.5208
23,5.4663004875183105,5.466272354125977,2.8133392333984375e-05,4.7081
24,5.425082683563232,5.425055027008057,2.765655517578125e-05,4.9562
25,5.377753734588623,5.3777265548706055,2.7179718017578125e-05,5.1473
26,5.334877967834473,5.334851264953613,2.6702880859375e-05,5.4112
27,5.303262233734131,5.30323600769043,2.6226043701171875e-05,5.6068
28,5.284256935119629,5.284230709075928,2.6226043701171875e-05,5.7933
29,5.275012016296387,5.274985313415527,2.6702880859375e-05,5.9796
30,5.270664215087891,5.270637512207031,2.6702880859375e-05,6.16
31,5.266188144683838,5.266160488128662,2.765655517578125e-05,6.3483
32,5.257610321044922,5.257582187652588,2.8133392333984375e-05,6.5226
33,5.242800235748291,5.242771625518799,2.86102294921875e-05,6.6952
34,5.221848487854004,5.2218194007873535,2.9087066650390625e-05,6.9918
35,5.196900367736816,5.19687032699585,3.0040740966796875e-05,7.1715
36,5.171372413635254,5.171341896057129,3.0517578125e-05,7.4551
37,5.148784160614014,5.148752689361572,3.147125244140625e-05,7.6737
38,5.131600856781006,5.131568908691406,3.1948089599609375e-05,7.862
39,5.120482921600342,5.120450019836426,3.2901763916015625e-05,8.0439
