epoch,total_loss,full_rollout_train_mse,full_rollout_test_mse_clean,eval_seconds,elapsed_seconds
0,47.44731521606445,12465.357421875,12323.326171875,0.1005,1.1132
1,40.8824348449707,,,,2.0998
2,34.90401840209961,,,,3.1086
3,29.366437911987305,,,,4.0904
4,24.304176330566406,,,,5.079
5,19.751218795776367,,,,6.0453
6,15.725396156311035,,,,6.996
7,12.23095703125,,,,7.9284
8,9.258611679077148,,,,8.8476
9,6.785881996154785,,,,9.7347
10,4.780359745025635,,,,10.6387
11,3.204796552658081,,,,11.5126
12,2.020054817199707,,,,12.4015
13,1.1841720342636108,,,,13.2521
14,0.6502153277397156,,,,14.1072
15,0.3661107122898102,,,,14.9894
16,0.2773608863353729,,,,15.9045
17,0.33141303062438965,,,,16.8064
18,0.48151952028274536,,,,17.7202
19,0.6885169148445129,,,,18.6368
20,0.9204171299934387,,,,19.5513
21,1.1509947776794434,,,,20.5027
22,1.3588305711746216,,,,21.465
23,1.5275508165359497,,,,22.4018
24,1.6467041969299316,,,,23.3308
25,1.7120355367660522,,,,24.2569
26,1.72454035282135,,,,25.1952
27,1.688727617263794,,,,26.1117
28,1.6109365224838257,,,,27.0302
29,1.4983463287353516,,,,27.9538
30,1.3587582111358643,,,,28.859
31,1.2006728649139404,,,,29.7553
32,1.0330828428268433,,,,30.6459
33,0.864757776260376,,,,31.5275
34,0.7033283114433289,,,,32.414
35,0.5546848177909851,,,,33.3201
36,0.42294228076934814,,,,34.2238
37,0.3107815384864807,,,,35.1245
38,0.21976056694984436,,,,36.0001
39,0.15036407113075256,,,,36.8588
40,0.10187987983226776,,,,37.7124
41,0.07236886769533157,,,,38.5535
42,0.058919280767440796,,,,39.3967
43,0.058122679591178894,,,,40.2573
44,0.06652581691741943,,,,41.1034
45,0.08087769150733948,,,,41.9547
46,0.09819585829973221,,,,42.7933
47,0.11580593138933182,,,,43.6435
48,0.13145987689495087,,,,44.4908
49,0.14350156486034393,,,,45.3344
50,0.15096129477024078,,,,46.1819
51,0.1535065621137619,,,,47.031
52,0.15129421651363373,,,,47.8692
53,0.14482368528842926,,,,48.7182
54,0.1348455250263214,,,,49.5586
55,0.12230154126882553,,,,50.4117
56,0.10823848843574524,,,,51.2593
57,0.0936875119805336,,,,52.0972
58,0.07955201715230942,,,,52.9508
59,0.06654878705739975,,,,53.802
60,0.05520155653357506,,,,54.6599
61,0.045850515365600586,,,,55.5247
62,0.03865088149905205,,,,56.3735
63,0.03357141464948654,,,,57.2224
64,0.030420059338212013,,,,58.0588
65,0.028898680582642555,,,,58.8916
66,0.028660250827670097,,,,59.7449
67,0.029343893751502037,,,,60.6341
68,0.03059016354382038,,,,61.5112
69,0.03205951303243637,,,,62.3755
70,0.03346291556954384,,,,63.2369
71,0.03458982706069946,,,,64.1066
72,0.03531362861394882,,,,64.9766
73,0.03557416796684265,,,,65.8359
74,0.03535924106836319,,,,66.6959
75,0.0346992053091526,,,,67.5446
76,0.03366830572485924,,,,68.3912
77,0.032375335693359375,,,,69.231
78,0.030940309166908264,,,,70.0734
79,0.029471270740032196,,,,70.9193
80,0.028056366369128227,,,,71.7597
81,0.026768265292048454,,,,72.5991
82,0.02566630207002163,,,,73.4458
83,0.024789201095700264,,,,74.295
84,0.02414686419069767,,,,75.1346
85,0.023722412064671516,,,,75.9664
86,0.023484228178858757,,,,76.8093
87,0.023396506905555725,,,,77.646
88,0.0234213937073946,,,,78.4981
89,0.02351686917245388,,,,79.3412
90,0.0236392579972744,,,,80.1888
91,0.023751351982355118,,,,81.0859
92,0.023828761652112007,,,,81.9336
93,0.02385891228914261,,,,82.7784
94,0.023836225271224976,,,,83.6169
95,0.023759743198752403,,,,84.4715
96,0.02363460324704647,,,,85.3185
97,0.023472987115383148,,,,86.1511
98,0.02329094707965851,,,,86.9949
99,0.02310355380177498,,,,87.8332
100,0.022922333329916,10.70875358581543,19.753055572509766,0.1277,88.8017
101,0.022756356745958328,,,,89.6371
102,0.02261318452656269,,,,90.5005
103,0.022497856989502907,,,,91.35
104,0.022411348298192024,,,,92.1938
105,0.02235071174800396,,,,93.0468
106,0.022311147302389145,,,,93.8906
107,0.022287661209702492,,,,94.7308
108,0.022275282070040703,,,,95.6158
109,0.02226860076189041,,,,96.4759
110,0.02226247265934944,,,,97.3142
111,0.022253045812249184,,,,98.1413
112,0.022238312289118767,,,,98.9813
113,0.02221752144396305,,,,99.8295
114,0.022190693765878677,,,,100.6778
115,0.02215842716395855,,,,101.5141
116,0.02212209813296795,,,,102.3571
117,0.022083662450313568,,,,103.1949
118,0.022044936195015907,,,,104.0335
119,0.022007355466485023,,,,104.8735
120,0.021972037851810455,,,,105.7136
121,0.021939745172858238,,,,106.5578
122,0.021910907700657845,,,,107.3929
123,0.021885469555854797,,,,108.2355
124,0.021862966939806938,,,,109.0816
125,0.021842822432518005,,,,109.9146
126,0.02182435803115368,,,,110.7839
127,0.02180681936442852,,,,111.6417
128,0.021789591759443283,,,,112.4878
129,0.021772176027297974,,,,113.3164
130,0.021754173561930656,,,,114.1575
131,0.02173549123108387,,,,115.0023
132,0.021716061979532242,,,,115.836
133,0.021695991978049278,,,,116.6755
134,0.02167551778256893,,,,117.5097
135,0.021654866635799408,,,,118.3465
136,0.021634284406900406,,,,119.1828
137,0.021613921970129013,,,,120.0267
138,0.021593954414129257,,,,120.8905
139,0.021574439480900764,,,,121.7232
140,0.021555429324507713,,,,122.5704
141,0.021536830812692642,,,,123.4126
142,0.021518556401133537,,,,124.265
143,0.02150052972137928,,,,125.1345
144,0.02148262783885002,,,,125.979
145,0.021464763209223747,,,,126.8199
146,0.02144685760140419,,,,127.6618
147,0.021428870037198067,,,,128.5065
148,0.021410798653960228,,,,129.3306
149,0.021392662078142166,,,,130.1684
150,0.021374443545937538,,,,131.0119
151,0.02135622128844261,,,,131.8467
152,0.02133801393210888,,,,132.6874
153,0.02131987176835537,,,,133.5294
154,0.021301817148923874,,,,134.3701
155,0.02128380537033081,,,,135.2
156,0.02126588299870491,,,,136.0322
157,0.021248025819659233,,,,136.8696
158,0.021230246871709824,,,,137.7284
159,0.021212467923760414,,,,138.5671
160,0.02119472622871399,,,,139.403
161,0.02117696776986122,,,,140.2517
162,0.021159252151846886,,,,141.096
163,0.02114148624241352,,,,141.9684
164,0.021123690530657768,,,,142.8155
165,0.021105913445353508,,,,143.6509
166,0.021088149398565292,,,,144.488
167,0.02107037976384163,,,,145.3318
168,0.021052641794085503,,,,146.1764
169,0.021034929901361465,,,,147.0188
170,0.02101723663508892,,,,147.8655
171,0.020999575033783913,,,,148.7076
172,0.020981935784220695,,,,149.5616
173,0.02096431329846382,,,,150.4037
174,0.020946701988577843,,,,151.2464
175,0.02092912793159485,,,,152.0988
176,0.02091153897345066,,,,152.9349
177,0.020893968641757965,,,,153.7677
