epoch,total_loss,mse_loss,elapsed_seconds
0,1276.571044921875,1276.571044921875,0.1926
1,1099.385498046875,1099.385498046875,0.2407
2,934.4246826171875,934.4246826171875,0.289
3,780.827880859375,780.827880859375,0.3357
4,639.0718383789062,639.0718383789062,0.3894
5,515.0359497070312,515.0359497070312,0.4438
6,412.2142028808594,412.2142028808594,0.4962
7,322.5244445800781,322.5244445800781,0.5484
8,232.8059539794922,232.8059539794922,0.6062
9,159.15158081054688,159.15158081054688,0.6691
10,115.79838562011719,115.79838562011719,0.7242
11,91.40419006347656,91.40419006347656,0.7755
12,76.79206848144531,76.79206848144531,0.8319
13,69.7912368774414,69.7912368774414,0.8917
14,69.9122314453125,69.9122314453125,0.9638
15,74.58903503417969,74.58903503417969,1.0215
16,81.39635467529297,81.39635467529297,1.0759
17,88.0520248413086,88.0520248413086,1.1271
18,93.30564880371094,93.30564880371094,1.1769
19,96.72953796386719,96.72953796386719,1.2261
20,98.14665222167969,98.14665222167969,1.2757
21,97.50662994384766,97.50662994384766,1.3254
22,94.81767272949219,94.81767272949219,1.3777
23,90.11009216308594,90.11009216308594,1.4266
24,83.45542907714844,83.45542907714844,1.4757
25,75.07173156738281,75.07173156738281,1.5274
26,65.53873443603516,65.53873443603516,1.5858
27,56.013877868652344,56.013877868652344,1.6431
28,47.88673400878906,47.88673400878906,1.6977
29,41.829994201660156,41.829994201660156,1.7525
30,37.58192443847656,37.58192443847656,1.8052
31,34.49698257446289,34.49698257446289,1.8587
32,32.028465270996094,32.028465270996094,1.914
33,29.858264923095703,29.858264923095703,1.9692
34,27.858409881591797,27.858409881591797,2.0261
35,25.980777740478516,25.980777740478516,2.0818
36,24.242168426513672,24.242168426513672,2.1371
37,22.712444305419922,22.712444305419922,2.1942
38,21.48360824584961,21.48360824584961,2.2506
39,20.562063217163086,20.562063217163086,2.305
40,19.845523834228516,19.845523834228516,2.3624
41,19.18979263305664,19.18979263305664,2.4199
42,18.48556137084961,18.48556137084961,2.4773
43,17.687000274658203,17.687000274658203,2.5354
44,16.816543579101562,16.816543579101562,2.5924
45,15.938865661621094,15.938865661621094,2.65
46,15.124532699584961,15.124532699584961,2.7092
47,14.426862716674805,14.426862716674805,2.7696
48,13.868829727172852,13.868829727172852,2.8277
49,13.439204216003418,13.439204216003418,2.8846
50,13.100430488586426,13.100430488586426,2.9423
51,12.801798820495605,12.801798820495605,3.0004
52,12.491971969604492,12.491971969604492,3.0596
53,12.128591537475586,12.128591537475586,3.1169
54,11.684000015258789,11.684000015258789,3.1852
55,11.147863388061523,11.147863388061523,3.2771
56,10.527484893798828,10.527484893798828,3.3353
57,9.846355438232422,9.846355438232422,3.3951
58,9.141697883605957,9.141697883605957,3.4507
59,8.460355758666992,8.460355758666992,3.5084
60,7.851841926574707,7.851841926574707,3.5666
