epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,1276.560302734375,1276.560302734375,1329.191650390625,1329.2071533203125,0.1909
1,1099.3740234375,1099.3740234375,1149.80029296875,1149.8095703125,0.2434
2,934.4122314453125,934.4122314453125,982.0341796875,982.0372924804688,0.2951
3,780.8147583007812,780.8147583007812,825.025390625,825.0224609375,0.3468
4,639.05810546875,639.05810546875,679.3714599609375,679.362548828125,0.4051
5,515.0218505859375,515.0218505859375,551.4703979492188,551.4555053710938,0.4633
6,412.1996154785156,412.1996154785156,444.86444091796875,444.84405517578125,0.5165
7,322.510498046875,322.510498046875,351.25445556640625,351.22918701171875,0.5731
8,232.79501342773438,232.79501342773438,256.4481506347656,256.41900634765625,0.6365
9,159.14111328125,159.14111328125,176.6956024169922,176.6632843017578,0.6951
10,115.78802490234375,115.78802490234375,128.68734741210938,128.65167236328125,0.7496
11,91.39500427246094,91.39500427246094,100.80943298339844,100.77091217041016,0.803
12,76.78426361083984,76.78426361083984,83.82992553710938,83.78910064697266,0.8619
13,69.78439331054688,69.78439331054688,71.78644561767578,71.74385833740234,0.9252
14,69.90701293945312,69.90701293945312,65.99505615234375,65.95350646972656,0.99
15,74.58470153808594,74.58470153808594,69.8442153930664,69.80305480957031,1.0687
16,81.39253234863281,81.39253234863281,75.74244689941406,75.701416015625,1.1312
17,88.04817199707031,88.04817199707031,81.2710952758789,81.23060607910156,1.1913
18,93.301513671875,93.301513671875,85.6158218383789,85.57622528076172,1.2478
19,96.7249984741211,96.7249984741211,88.3616714477539,88.32328796386719,1.3021
20,98.14158630371094,98.14158630371094,89.31982421875,89.28291320800781,1.3561
21,97.50111389160156,97.50111389160156,88.43501281738281,88.39974212646484,1.4129
22,94.81172180175781,94.81172180175781,85.71764373779297,85.68412017822266,1.4692
23,90.10365295410156,90.10365295410156,81.20052337646484,81.1688003540039,1.5252
24,83.44844818115234,83.44844818115234,74.93943786621094,74.90947723388672,1.5805
25,75.06413269042969,75.06413269042969,67.09835815429688,67.07009887695312,1.6386
26,65.5308837890625,65.5308837890625,58.15509796142578,58.12847137451172,1.706
27,56.006797790527344,56.006797790527344,49.13593673706055,49.11094665527344,1.7725
28,47.88140106201172,47.88140106201172,41.45820236206055,41.43491744995117,1.8373
29,41.82634735107422,41.82634735107422,35.9865837097168,35.96516799926758,1.8998
30,37.579132080078125,37.579132080078125,32.4288215637207,32.40935134887695,1.9599
31,34.49396896362305,34.49396896362305,30.0603084564209,30.042627334594727,2.0217
32,32.02436828613281,32.02436828613281,28.282012939453125,28.26580238342285,2.0855
33,29.852651596069336,29.852651596069336,26.696279525756836,26.681100845336914,2.1509
34,27.851293563842773,27.851293563842773,25.08554458618164,25.07080078125,2.2154
35,25.972515106201172,25.972515106201172,23.43515396118164,23.420236587524414,2.2774
36,24.233346939086914,24.233346939086914,21.926227569580078,21.91086196899414,2.3422
37,22.703922271728516,22.703922271728516,20.895767211914062,20.879663467407227,2.4041
38,21.476303100585938,21.476303100585938,20.504016876220703,20.487089157104492,2.4684
39,20.55678939819336,20.55678939819336,20.59567642211914,20.57809066772461,2.5394
40,19.842700958251953,19.842700958251953,20.872495651245117,20.85445213317871,2.6089
41,19.189266204833984,19.189266204833984,21.036115646362305,21.01776885986328,2.6707
42,18.486732482910156,18.486732482910156,20.861980438232422,20.843433380126953,2.7337
43,17.68902015686035,17.68902015686035,20.26416015625,20.245452880859375,2.8011
44,16.81850242614746,16.81850242614746,19.308895111083984,19.29001235961914,2.8639
45,15.940061569213867,15.940061569213867,18.14481544494629,18.125715255737305,2.9261
46,15.12458610534668,15.12458610534668,16.917844772338867,16.89853858947754,2.9877
47,14.42570686340332,14.42570686340332,15.729327201843262,15.709869384765625,3.0513
48,13.866650581359863,13.866650581359863,14.635580062866211,14.616068840026855,3.1167
49,13.43635082244873,13.43635082244873,13.663220405578613,13.64374828338623,3.1797
50,13.097308158874512,13.097308158874512,12.818710327148438,12.799351692199707,3.2454
51,12.798775672912598,12.798775672912598,12.088232040405273,12.069039344787598,3.3137
52,12.4893217086792,12.4893217086792,11.438786506652832,11.41981029510498,3.3775
53,12.126457214355469,12.126457214355469,10.828282356262207,10.809581756591797,3.4417
54,11.6824312210083,11.6824312210083,10.219426155090332,10.201055526733398,3.5127
55,11.146821975708008,11.146821975708008,9.588968276977539,9.57098388671875,3.5781
56,10.526851654052734,10.526851654052734,8.931211471557617,8.913655281066895,3.6414
57,9.845991134643555,9.845991134643555,8.257314682006836,8.24022102355957,3.707
58,9.141440391540527,9.141440391540527,7.592240810394287,7.575631141662598,3.7712
59,8.46004867553711,8.46004867553711,6.9698004722595215,6.953688621520996,3.8362
60,7.851361274719238,7.851361274719238,6.425591468811035,6.40997838973999,3.8991
61,7.357588291168213,7.357588291168213,5.988158226013184,5.973031520843506,3.9644
62,7.00299072265625,7.00299072265625,5.670889377593994,5.656228065490723,4.0285
63,6.787567138671875,6.787567138671875,5.468360900878906,5.454137325286865,4.0954
64,6.688695430755615,6.688695430755615,5.358837127685547,5.3450236320495605,4.1613
65,6.669125556945801,6.669125556945801,5.310848236083984,5.297415256500244,4.2265
66,6.6868085861206055,6.6868085861206055,5.290492534637451,5.277403831481934,4.2947
67,6.703291416168213,6.703291416168213,5.267280101776123,5.254489421844482,4.3611
68,6.689507484436035,6.689507484436035,5.2182183265686035,5.205672264099121,4.4285
69,6.628716945648193,6.628716945648193,5.130075931549072,5.117716312408447,4.4953
70,6.516958713531494,6.516958713531494,4.999892234802246,4.987662315368652,4.5635
71,6.361336708068848,6.361336708068848,4.833796501159668,4.821642875671387,4.6336
