arm,key,initial_norm,final_norm,abs_displacement,relative_displacement,cos_final_initial,cos_initial_cantera,cos_final_cantera
default random,random10k,0.4848266341791655,43.97494258739761,44.01246434366925,90.77979888251073,-0.07191259478592558,-0.3128338848602043,-0.33596913082770363
Cantera init,cantera10k,171227.54970142292,171227.1273876449,26.99985811073864,0.00015768407687792935,0.9999999875708767,0.9999999999999988,0.9999999875684282
random x1e5 dir0,x1e5_dir0_10k,48482.663417916556,48511.23497056286,49.06093567187647,0.0010119274027702491,0.9999996618467301,-0.31283388486020425,-0.3129415079405847
norm-matched dir0,nm_dir0_10k,171227.59801732984,171231.9277704316,34.52389027905039,0.0002016257348628826,0.9999999799937419,-0.31283344412372655,-0.31288260275501895
norm-matched dir1,nm_dir1_10k,171227.52237017857,171227.5307826402,0.17320508075751784,1.0115493021213257e-06,0.9999999999994896,0.31690434891500324,0.3169043694303736
norm-matched dir2,nm_dir2_10k,171227.42305028977,171228.43276262298,12.611915001300927,7.365592950375004e-05,0.9999999973048046,0.1889514710494915,0.18894981681587467
