arm,key,recorded_final_loss,loss,grad_kinetic,grad_thermo_linear,grad_thermo_correction,theta_thermo_norm,max_abs_grad_thermo,grad_thermo / grad_kinetic,rel_loss_gap,abs_displacement,% of Adam ceiling
default random,random10k,2.127238,2.122756242752075,48.489990234375,0.000785257201641798,9.650638276070822e-06,43.97494888305664,0.0005720642511732876,1.61942124105672e-05,0.0021068433564673953,44.01246434366925,73.35410723944875
Cantera init,cantera10k,0.2366149,0.23689574003219604,19.078163146972656,1.8802023987518623e-05,2.8691069928754587e-06,171227.015625,1.4976263628341258e-05,9.855259042850857e-07,0.0011869076385132796,26.99985811073864,44.999763517897726
random x1e5 dir0,x1e5_dir0_10k,3.747347,3.757463216781616,7.291473388671875,8.777403127169237e-05,2.4820521957735764e-06,48511.25,7.627081504324451e-05,1.203790051652101e-05,0.002699567662566671,49.06093567187647,81.76822611979411
norm-matched dir0,nm_dir0_10k,3.042592,3.1114485263824463,77.9333267211914,0.0004258108092471957,1.6166026398423128e-05,171231.828125,0.0004195472283754498,5.463783302495805e-06,0.022630877351431388,34.52389027905039,57.53981713175065
norm-matched dir1,nm_dir1_10k,0.2698263,0.2697944641113281,50.227783203125,0.00010401744657428935,6.884350568725495e-06,171227.46875,7.747866038698703e-05,2.0709145405369543e-06,0.00011798660349971039,0.17320508075751784,0.288675134595863
norm-matched dir2,nm_dir2_10k,2.267353,2.258101463317871,40.93009948730469,0.00013800803571939468,7.553368050139397e-06,171228.421875,0.00013381159806158394,3.371798198589786e-06,0.0040803248025908885,12.611915001300927,21.019858335501546
