arm,label,interpretation,budget,available,checkpoint,train_mse,test_mse,train_dominant_state,train_dominant_share,train_T_share,train_negative_species_frac,train_T_min_K,train_T_max_K,thermo_norm,arch,n_params,train_peak_T_K,train_ref_peak_T_K,train_peak_error_K,train_cools_below_T0,train_delay_dense_ms,train_ref_delay_dense_ms,train_delay_error_pct,train_gate,held_peak_T_K,held_ref_peak_T_K,held_peak_error_K,held_T_min_K,held_cools_below_T0,held_delay_dense_ms,held_ref_delay_dense_ms,held_delay_error_pct,held_gate,gate_both,wall_hours,median_s_per_epoch,median_nfe,stability_min_loss,stability_min_epoch,stability_final_loss,stability_final_over_min,stability_stable,probe_loss_at_500,probe_loss_at_10000,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2,eq18_H2,eq18_H,eq18_O,eq18_O2,eq18_OH,eq18_H2O,eq18_HO2,eq18_H2O2,eq18_N2,eq18_T
x1e5,random x1e5 dir0,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/scaled_random_1e5_dir0_stage2_10000/checkpoint_stage2_epoch_500.pt,4.901549339294434,8.4320707321167,O2,0.5716907382011414,0.10934226214885712,0.10819047619047618,1050.0,2401.714111328125,53917.45703125,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,2105.74658203125,2669.7177346560534,-563.9711526248034,False,0.04878243912195609,0.14190709535476773,-65.62367864693447,False,2035.27734375,2761.5843187660626,-726.3069750160626,1150.0,False,0.013590679533976698,0.06312315615780789,-78.46958174904942,False,False,,,,,,,,,4.902737,13188.51,-19204.357421875,19166.00390625,17653.43359375,25585.005859375,12091.7939453125,-11130.783203125,-9314.720703125,9847.6650390625,27401.947265625,1.4459372758865356,0.5737699270248413,0.8791133761405945,28.02170753479004,1.2567108869552612,8.69728946685791,1.994072437286377,0.54593825340271,0.2414918690919876,5.359465599060059
x1e5,random x1e5 dir0,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/scaled_random_1e5_dir0_stage2_10000/checkpoint_final.pt,13188.5068359375,11482.90234375,HO2,0.9987843632698059,0.00017755234148353338,0.3433015873015873,379.17877197265625,5133.53955078125,53948.66796875,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,4857.44140625,2669.7177346560534,2187.7236715939466,True,9.000450022501123e-05,0.14190709535476773,-99.93657505285412,False,4488.240234375,2761.5843187660626,1726.6559156089374,376.0873718261719,True,0.033031651582579126,0.06312315615780789,-47.671102661596954,False,False,3.561111111111111,1.2571500000003653,1448.0,4.432868480682373,8217.0,13188.5078125,2975.1633440001874,False,4.902737,13188.51,-19220.1875,19181.1640625,17668.33203125,25600.666015625,12106.421875,-11114.9375,-9313.5712890625,9847.5556640625,27417.83203125,42.58298873901367,3.3940134048461914,3.997246503829956,53.76980972290039,8.88657283782959,8.853175163269043,131724.765625,8.891613960266113,6.525404930114746,23.416507720947266
nm_dir0,norm-matched dir0,base-OFF (N=5),500,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir0/checkpoint_final.pt,5.061301231384277,7.683845520019531,H2O,0.4937818646430969,0.12082360684871674,0.17803174603174604,1050.0,3312.361572265625,171227.53125,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2596.38037109375,2669.7177346560534,-73.33736356230338,False,0.008940447022351116,0.14190709535476773,-93.69978858350952,False,2710.489501953125,2761.5843187660626,-51.09481681293755,1150.0,False,0.004380219010950547,0.06312315615780789,-93.06083650190115,False,False,,,,,,,,,5.061749,,1159.9173583984375,48678.8046875,9227.974609375,9832.546875,14700.7236328125,-92548.5078125,9251.841796875,81520.359375,106082.7734375,3.131356954574585,0.9423431158065796,1.359921932220459,6.907406806945801,4.794816017150879,24.99178695678711,1.6350315809249878,0.6317098736763,0.10339370369911194,6.115246295928955
nm_dir0,norm-matched dir0,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir0_stage2_10000/checkpoint_final.pt,3.110799789428711,5.399553298950195,H2O,0.8485919237136841,0.014910346828401089,0.26692063492063495,976.0776977539062,2656.9248046875,171231.828125,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2428.815673828125,2669.7177346560534,-240.90206082792838,True,0.16431821591079554,0.14190709535476773,15.79281183932346,False,2619.793212890625,2761.5843187660626,-141.79110587543755,1050.3779296875,True,0.0825641282064103,0.06312315615780789,30.79847908745246,False,False,1.5908333333333333,0.6098500000000513,,3.0387487411499023,9985.0,3.0425918102264404,1.001264688002827,True,5.061749,3.042592,1141.96533203125,48688.15625,9241.7861328125,9821.4287109375,14718.98828125,-92548.5078125,9252.28125,81520.359375,106082.8828125,0.1613931804895401,0.4929467439651489,0.6847512125968933,1.1611820459365845,0.17904864251613617,26.397998809814453,0.8280419707298279,0.38818851113319397,0.3506198823451996,0.4638310968875885
nm_dir0,norm-matched dir0,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir0_stage2_10000/checkpoint_stage2_epoch_500.pt,4.3047990798950195,7.365013122558594,O2,0.5829876065254211,0.04893185943365097,0.10603174603174603,1050.0,2862.283935546875,171228.171875,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,2711.449462890625,2669.7177346560534,41.73172823457162,False,0.055352767638381914,0.14190709535476773,-60.99365750528541,False,2623.83154296875,2761.5843187660626,-137.75277579731255,1150.0,False,0.01746087304365218,0.06312315615780789,-72.3384030418251,False,False,,,,,,,,,4.306289,1566.96,-60988.72265625,60865.34375,56061.9453125,81250.78125,38399.671875,-35351.46875,-29582.564453125,31274.564453125,87021.578125,1.069676399230957,0.6971089243888855,0.975220263004303,25.096446990966797,1.489769458770752,8.482611656188965,2.188117742538452,0.5415266156196594,0.4010952413082123,2.1064183712005615
nm_dir0,norm-matched dir0,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir0_stage2_10000/checkpoint_final.pt,1566.3743896484375,25.852977752685547,HO2,0.9944641590118408,0.0008094249642454088,0.21726984126984128,1046.5538330078125,1646.154296875,171230.0625,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,1495.30126953125,2669.7177346560534,-1174.4164651248034,True,0.4215210760538026,0.14190709535476773,197.04016913319236,False,1594.6829833984375,2761.5843187660626,-1166.901335367625,1146.761962890625,True,0.5418570928546427,0.06312315615780789,758.4125475285172,False,False,2.3125,0.6785999999999603,806.0,3.9034788608551025,1446.0,1566.96044921875,401.42665173175527,False,4.306289,1566.96,-60992.25,60865.3515625,56065.0,81250.71875,38401.8125,-35347.80859375,-29582.416015625,31274.478515625,87021.515625,9.710969924926758,3.61133074760437,1.5659356117248535,21.315065383911133,15.083091735839844,19.154857635498047,15577.0341796875,0.990155041217804,2.601242780685425,12.678627014160156
nm_dir1,norm-matched dir1,base-OFF (N=5),500,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir1/checkpoint_final.pt,0.3982950747013092,0.2937433421611786,HO2,0.2548713684082031,0.05285113304853439,0.1565079365079365,1049.2294921875,3025.762451171875,171227.4375,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2601.098388671875,2669.7177346560534,-68.61934598417838,False,0.15729786489324465,0.14190709535476773,10.845665961945024,True,2915.63671875,2761.5843187660626,154.05239998393745,1150.0,False,0.08514425721286063,0.06312315615780789,34.88593155893536,False,False,,,,,,,,,0.3978589,,58370.61328125,-50000.6953125,-21961.328125,53171.56640625,-106648.890625,67937.828125,-23305.0625,57632.08203125,15748.2119140625,0.20965415239334106,0.4468429386615753,0.565994918346405,0.2946869730949402,0.5293676853179932,0.3105357587337494,1.015140175819397,0.40022194385528564,2.6992092898581177e-06,0.2105034738779068
nm_dir1,norm-matched dir1,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir1_stage2_10000/checkpoint_final.pt,0.26972633600234985,0.20708340406417847,HO2,0.2748398780822754,0.025366997346282005,0.09307936507936508,1045.861572265625,2835.325927734375,171227.453125,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2606.85302734375,2669.7177346560534,-62.86470731230338,True,0.15729786489324465,0.14190709535476773,10.845665961945024,True,2804.9521484375,2761.5843187660626,43.36782967143745,1148.979736328125,True,0.07185359267963397,0.06312315615780789,13.830798479087443,True,True,1.4744444444444444,0.556999999999789,,0.2695035934448242,8170.0,0.2698263227939605,1.0011974955324756,True,0.3978589,0.2698263,58370.61328125,-50000.6953125,-21961.328125,53171.56640625,-106648.890625,67937.828125,-23305.0625,57632.08203125,15748.3974609375,0.16121532022953033,0.3863440752029419,0.28743740916252136,0.2493632733821869,0.26407361030578613,0.23165035247802734,0.7413156032562256,0.3073318898677826,0.00011032385373255238,0.06842147558927536
nm_dir1,norm-matched dir1,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_stage2_epoch_500.pt,1.3905292749404907,1.3767613172531128,OH,0.18991442024707794,0.1805519014596939,0.16653968253968254,1050.0,2924.92919921875,171227.421875,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,2843.47119140625,2669.7177346560534,173.75345675019662,False,0.24907245362268113,0.14190709535476773,75.51797040169131,False,2854.82861328125,2761.5843187660626,93.24429451518745,1150.0,False,0.17781889094454723,0.06312315615780789,181.70152091254755,False,False,,,,,,,,,1.409903,0.3354812,58370.59375,-50000.6640625,-21961.2578125,53171.43359375,-106648.890625,67937.828125,-23305.21875,57632.08203125,15748.4541015625,0.7959848046302795,0.9583966732025146,1.306995153427124,1.6918882131576538,2.640815496444702,1.3961420059204102,1.9367828369140625,0.6611794233322144,0.006480820942670107,2.510627031326294
nm_dir1,norm-matched dir1,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir1_stage2_10000/checkpoint_final.pt,0.31010109186172485,0.20879463851451874,HO2,0.26695045828819275,0.03826061636209488,0.11022222222222222,1046.5445556640625,2832.50439453125,171227.40625,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,2556.883544921875,2669.7177346560534,-112.83418973417838,True,0.1745187259362968,0.14190709535476773,22.98097251585623,True,2754.465087890625,2761.5843187660626,-7.119230875437552,1150.0,False,0.10206510325516276,0.06312315615780789,61.69201520912547,False,False,3.385,1.1838500000003478,1214.0,0.2976315319538116,8795.0,0.3354811668395996,1.1271694387934064,True,1.409903,0.3354812,58370.5859375,-50000.6640625,-21961.255859375,53171.4140625,-106648.890625,67937.828125,-23305.21875,57632.08203125,15748.447265625,0.11067336052656174,0.22937153279781342,0.45558395981788635,0.22915080189704895,0.41924747824668884,0.33250823616981506,0.827816367149353,0.37231746315956116,0.005695309955626726,0.11864660680294037
nm_dir2,norm-matched dir2,base-OFF (N=5),500,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir2/checkpoint_final.pt,4.428412437438965,7.26892614364624,H2O,0.31722381711006165,0.06215257570147514,0.1775873015873016,1024.39990234375,3323.174560546875,171227.4375,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2932.43212890625,2669.7177346560534,262.7143942501966,True,0.09744487224361217,0.14190709535476773,-31.331923890063432,False,3286.829833984375,2761.5843187660626,525.2455152183124,1146.24658203125,True,0.04791239561978099,0.06312315615780789,-24.096958174904945,False,False,,,,,,,,,4.441719,,36703.85546875,-38077.3515625,43878.265625,-8172.20703125,68352.640625,38093.09375,-18390.330078125,-129358.9921875,36531.74609375,2.826636791229248,1.1209098100662231,1.829807162284851,9.501761436462402,8.32207202911377,14.047978401184082,3.0876624584198,0.794759213924408,0.00016442463675048202,2.7523722648620605
nm_dir2,norm-matched dir2,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir2_stage2_10000/checkpoint_final.pt,2.257612466812134,3.9028797149658203,H2O,0.7606303691864014,0.046467047184705734,0.14342857142857143,1046.5159912109375,3163.0693359375,171228.421875,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2853.009765625,2669.7177346560534,183.29203096894662,True,0.15105755287764389,0.14190709535476773,6.448202959830867,False,3104.222900390625,2761.5843187660626,342.63858162456245,1150.0,False,0.06858342917145856,0.06312315615780789,8.650190114068428,False,False,1.8627777777777779,0.6718500000000631,,2.2457268238067627,9971.0,2.2673532962799072,1.009630054841882,True,4.441719,2.267353,36706.9296875,-38077.3515625,43878.16015625,-8161.28759765625,68352.640625,38093.08203125,-18390.3203125,-129358.9921875,36535.87890625,0.6235189437866211,0.33004316687583923,0.6613777279853821,0.8579068183898926,0.6618340611457825,17.172086715698242,0.7730320692062378,0.29442131519317627,0.15285880863666534,1.0490459203720093
nm_dir2,norm-matched dir2,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir2_stage2_10000/checkpoint_stage2_epoch_500.pt,18.986221313476562,25.082103729248047,T,0.8362807035446167,0.8362807035446167,0.26425396825396824,1050.0,6925.087890625,171227.4375,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,6333.287109375,2669.7177346560534,3663.5693747189466,False,0.024691234561728084,0.14190709535476773,-82.60042283298097,False,6453.91748046875,2761.5843187660626,3692.3331617026874,1150.0,False,0.009900495024751236,0.06312315615780789,-84.31558935361217,False,False,,,,,,,,,18.98628,42.56446,36703.8359375,-38077.34375,43878.2734375,-8172.75634765625,68352.6484375,38093.09765625,-18390.2578125,-129358.9921875,36531.69921875,2.8906373977661133,2.4490134716033936,2.374824285507202,6.1002631187438965,3.464719533920288,6.151238918304443,6.972950458526611,0.6442423462867737,0.036219097673892975,158.77810668945312
nm_dir2,norm-matched dir2,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/normmatched_dir2_stage2_10000/checkpoint_final.pt,42.56271743774414,41.20850372314453,T,0.9122667908668518,0.9122667908668518,0.24196825396825397,1050.0,7883.6591796875,171227.4375,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,7571.93896484375,2669.7177346560534,4902.221230187697,False,0.00993049652482624,0.14190709535476773,-93.00211416490485,False,7846.14892578125,2761.5843187660626,5084.564607015187,1150.0,False,0.006720336016800839,0.06312315615780789,-89.35361216730038,False,False,3.019722222222222,0.9743999999996049,1160.0,17.369863510131836,8211.0,42.56446075439453,2.4504775601470152,False,18.98628,42.56446,36703.8359375,-38077.34375,43878.2734375,-8172.75634765625,68352.6484375,38093.09765625,-18390.201171875,-129358.9921875,36531.69921875,3.425687313079834,3.3186709880828857,1.9120336771011353,7.336411952972412,8.127340316772461,6.8681254386901855,5.555149078369141,0.7151954770088196,0.08304166793823242,388.2854919433594
